logmar,condition,normalization,pair,pair_label,mimicry_sym_mean,mimicry_sym_max,mimicry_sym_min,mimicry_ab,mimicry_ba
-0.4,stabilized,zscore,0-90,0↔90,0.4965553166964861,0.5022226798440934,0.49088795354887876,0.49088795354887876,0.5022226798440934
-0.4,stabilized,zscore,0-180,0↔180,0.529723549762661,0.569292489201585,0.490154610323737,0.490154610323737,0.569292489201585
-0.4,stabilized,zscore,0-270,0↔270,0.5697171034090354,0.5787322493567978,0.5607019574612728,0.5787322493567978,0.5607019574612728
-0.4,stabilized,zscore,90-180,90↔180,0.40395301698135355,0.4229435912470445,0.38496244271566255,0.38496244271566255,0.4229435912470445
-0.4,stabilized,zscore,90-270,90↔270,0.04739043799281125,0.048413977423382305,0.046366898562240196,0.046366898562240196,0.048413977423382305
-0.4,stabilized,zscore,180-270,180↔270,0.49668942833887564,0.5213603447940784,0.47201851188367283,0.5213603447940784,0.47201851188367283
-0.35,real,raw,0-90,0↔90,0.4891529605420565,0.507242520824963,0.47106340025915,0.47106340025915,0.507242520824963
-0.35,real,raw,0-180,0↔180,0.4695458824226855,0.5118895645864752,0.4272022002588959,0.4272022002588959,0.5118895645864752
-0.35,real,raw,0-270,0↔270,0.5435932546913684,0.5436778164627388,0.5435086929199981,0.5435086929199981,0.5436778164627388
-0.35,real,raw,90-180,90↔180,0.36570105860980107,0.36903993932693496,0.3623621778926672,0.3623621778926672,0.36903993932693496
-0.35,real,raw,90-270,90↔270,0.00857892716445719,0.011568098104866751,0.005589756224047627,0.005589756224047627,0.011568098104866751
-0.35,real,raw,180-270,180↔270,0.37960445727483805,0.3885161938806945,0.37069272066898157,0.3885161938806945,0.37069272066898157
-0.35,real,zscore,0-90,0↔90,0.478346103383663,0.5573118263383194,0.3993803804290066,0.3993803804290066,0.5573118263383194
-0.35,real,zscore,0-180,0↔180,0.5391848863494249,0.6221805443151002,0.45618922838374953,0.45618922838374953,0.6221805443151002
-0.35,real,zscore,0-270,0↔270,0.4753916220979063,0.5456513564409645,0.40513188775484804,0.40513188775484804,0.5456513564409645
-0.35,real,zscore,90-180,90↔180,0.41587536301783373,0.42917450461518497,0.4025762214204825,0.4025762214204825,0.42917450461518497
-0.35,real,zscore,90-270,90↔270,0.02280621599987072,0.030657679673538336,0.014954752326203101,0.014954752326203101,0.030657679673538336
-0.35,real,zscore,180-270,180↔270,0.37098058555622615,0.40047335084711183,0.3414878202653404,0.40047335084711183,0.3414878202653404
-0.35,stabilized,raw,0-90,0↔90,0.6430745468933019,0.6486631323981052,0.6374859613884984,0.6374859613884984,0.6486631323981052
-0.35,stabilized,raw,0-180,0↔180,0.6374923702651343,0.6750519249167808,0.5999328156134878,0.5999328156134878,0.6750519249167808
-0.35,stabilized,raw,0-270,0↔270,0.6518309450389067,0.6682904298475567,0.6353714602302567,0.6353714602302567,0.6682904298475567
-0.35,stabilized,raw,90-180,90↔180,0.4516095054993493,0.46062668306828136,0.44259232793041725,0.44259232793041725,0.46062668306828136
-0.35,stabilized,raw,90-270,90↔270,0.08768720170861308,0.09896025496571037,0.07641414845151578,0.07641414845151578,0.09896025496571037
-0.35,stabilized,raw,180-270,180↔270,0.4592076155022334,0.4653673763008453,0.45304785470362147,0.4653673763008453,0.45304785470362147
-0.35,stabilized,zscore,0-90,0↔90,0.44986102770091274,0.536298077679705,0.3634239777221205,0.3634239777221205,0.536298077679705
-0.35,stabilized,zscore,0-180,0↔180,0.4904614508211257,0.6302463612360167,0.3506765404062346,0.3506765404062346,0.6302463612360167
-0.35,stabilized,zscore,0-270,0↔270,0.5091803197084817,0.6107052124302691,0.4076554269866941,0.4076554269866941,0.6107052124302691
-0.35,stabilized,zscore,90-180,90↔180,0.42857870742220905,0.4664037172931881,0.39075369755123,0.39075369755123,0.4664037172931881
-0.35,stabilized,zscore,90-270,90↔270,0.04693533368496339,0.06035970765501791,0.03351095971490887,0.03351095971490887,0.06035970765501791
-0.35,stabilized,zscore,180-270,180↔270,0.47278543122023015,0.49328952313795055,0.45228133930250974,0.49328952313795055,0.45228133930250974
-0.3,real,raw,0-90,0↔90,0.47279273611994854,0.47491022976287595,0.47067524247702114,0.47067524247702114,0.47491022976287595
-0.3,real,raw,0-180,0↔180,0.6858912843304896,0.7096973800998002,0.662085188561179,0.7096973800998002,0.662085188561179
-0.3,real,raw,0-270,0↔270,0.5396363623473676,0.545726515459781,0.5335462092349541,0.5335462092349541,0.545726515459781
-0.3,real,raw,90-180,90↔180,0.05265578919671683,0.05375354522119078,0.05155803317224289,0.05375354522119078,0.05155803317224289
-0.3,real,raw,90-270,90↔270,0.06912082704375977,0.07496784325312805,0.06327381083439147,0.06327381083439147,0.07496784325312805
-0.3,real,raw,180-270,180↔270,0.0878374583719207,0.0900446070416548,0.0856303097021866,0.0856303097021866,0.0900446070416548
-0.3,real,zscore,0-90,0↔90,0.36004623555466553,0.4105084699862323,0.30958400112309875,0.30958400112309875,0.4105084699862323
-0.3,real,zscore,0-180,0↔180,0.4554462204006211,0.4867547160689857,0.42413772473225647,0.42413772473225647,0.4867547160689857
-0.3,real,zscore,0-270,0↔270,0.44519686853826335,0.5278970128602198,0.3624967242163068,0.3624967242163068,0.5278970128602198
-0.3,real,zscore,90-180,90↔180,0.041003934223658195,0.045356576159394965,0.03665129228792142,0.03665129228792142,0.045356576159394965
-0.3,real,zscore,90-270,90↔270,0.08012350871530936,0.09588236917638694,0.06436464825423178,0.06436464825423178,0.09588236917638694
-0.3,real,zscore,180-270,180↔270,0.09836514137872383,0.10658484059089644,0.09014544216655122,0.09014544216655122,0.10658484059089644
-0.3,stabilized,raw,0-90,0↔90,0.5416682770795416,0.5423058771105805,0.5410306770485026,0.5423058771105805,0.5410306770485026
-0.3,stabilized,raw,0-180,0↔180,0.7474907251976126,0.7712401886009976,0.7237412617942275,0.7712401886009976,0.7237412617942275
-0.3,stabilized,raw,0-270,0↔270,0.6324977359959938,0.6326008274005475,0.63239464459144,0.63239464459144,0.6326008274005475
-0.3,stabilized,raw,90-180,90↔180,0.003563146611491281,0.004349966198116624,0.0027763270248659373,0.004349966198116624,0.0027763270248659373
-0.3,stabilized,raw,90-270,90↔270,0.11828785847419618,0.1201390958132081,0.11643662113518427,0.1201390958132081,0.11643662113518427
-0.3,stabilized,raw,180-270,180↔270,0.011711752500542558,0.012606636142233132,0.010816868858851981,0.010816868858851981,0.012606636142233132
