logmar,offset_x_deg,offset_y_deg,offset_x_arcmin,offset_y_arcmin,signal_trace,mean_pairwise_sep,min_pairwise_sep,alpha_pooled,alpha_orientation_mean,mean_mimicry,max_mimicry
-0.2,-0.039994917809963226,0.04999364912509918,-2.3996950685977936,2.999618947505951,0.07368284463882446,0.35252779722213745,0.07721847295761108,0.804611325263977,0.2147921472787857,0.3272237181663513,0.6823222041130066
-0.2,-0.039994917809963226,0.05999237671494484,-2.3996950685977936,3.5995426028966904,0.009950881823897362,0.1381961703300476,0.08764581382274628,0.6432349681854248,0.2855186462402344,0.2330205738544464,0.47125905752182007
-0.2,-0.039994917809963226,0.0699911043047905,-2.3996950685977936,4.19946625828743,0.010752377100288868,0.14112067222595215,0.06648118048906326,0.39364418387413025,0.07023598253726959,0.10488409548997879,0.3707279860973358
-0.2,-0.039994917809963226,0.07998983561992645,-2.3996950685977936,4.799390137195587,0.023766865953803062,0.20745426416397095,0.07258211076259613,0.8954542875289917,0.4031870365142822,0.37470197677612305,0.916784405708313
-0.2,-0.02999618835747242,-0.07998983561992645,-1.7997713014483452,-4.799390137195587,0.01981963776051998,0.19368527829647064,0.13533936440944672,0.8810168504714966,0.40838339924812317,0.40882912278175354,0.732230007648468
-0.2,-0.02999618835747242,-0.0699911043047905,-1.7997713014483452,-4.19946625828743,0.00985295046120882,0.13986846804618835,0.11819276213645935,0.6507254838943481,0.37874871492385864,0.3663087487220764,0.7389315962791443
-0.2,-0.02999618835747242,-0.05999237671494484,-1.7997713014483452,-3.5995426028966904,0.024956876412034035,0.21362747251987457,0.11198139190673828,0.7334005236625671,0.3672392666339874,0.3735803961753845,0.5816447734832764
-0.2,-0.02999618835747242,-0.04999364912509918,-1.7997713014483452,-2.999618947505951,0.008047837764024734,0.12528547644615173,0.09852875769138336,0.6808019280433655,0.23510147631168365,0.30263426899909973,0.519824743270874
-0.2,-0.02999618835747242,-0.039994917809963226,-1.7997713014483452,-2.3996950685977936,0.021073734387755394,0.1987321823835373,0.09656530618667603,0.6044119000434875,0.19761066138744354,0.26460909843444824,0.7540054321289062
-0.2,-0.02999618835747242,-0.02999618835747242,-1.7997713014483452,-1.7997713014483452,0.009825590997934341,0.13880933821201324,0.11233896762132645,0.631666362285614,0.32763636112213135,0.29384079575538635,0.6190193295478821
-0.2,-0.02999618835747242,-0.019997458904981613,-1.7997713014483452,-1.1998475342988968,0.01233731396496296,0.15434089303016663,0.11588075757026672,0.6874765157699585,0.46172863245010376,0.43277156352996826,0.7531847357749939
-0.2,-0.02999618835747242,-0.009998729452490807,-1.7997713014483452,-0.5999237671494484,0.030491389334201813,0.23616842925548553,0.0907786414027214,0.7454811930656433,0.5220460891723633,0.5121586918830872,0.7465667724609375
-0.2,-0.02999618835747242,0.0,-1.7997713014483452,0.0,0.0048698619939386845,0.09636267274618149,0.06569090485572815,0.6472335457801819,0.17749381065368652,0.1987028867006302,0.5913296937942505
-0.2,-0.02999618835747242,0.009998729452490807,-1.7997713014483452,0.5999237671494484,0.01956993155181408,0.19246646761894226,0.11924955248832703,0.5823390483856201,0.09959381073713303,0.12158060818910599,0.42703041434288025
-0.2,-0.02999618835747242,0.019997458904981613,-1.7997713014483452,1.1998475342988968,0.008112513460218906,0.12496405839920044,0.0850689485669136,0.6130644083023071,0.2288975566625595,0.2166203409433365,0.4373833239078522
-0.2,-0.02999618835747242,0.02999618835747242,-1.7997713014483452,1.7997713014483452,0.010041684843599796,0.1406937837600708,0.11711841821670532,0.5046072006225586,0.21824240684509277,0.23057599365711212,0.5667701363563538
-0.2,-0.02999618835747242,0.039994917809963226,-1.7997713014483452,2.3996950685977936,0.04842252656817436,0.28749433159828186,0.0727546438574791,0.8029769062995911,0.46663805842399597,0.4377734959125519,0.7066925764083862
-0.2,-0.02999618835747242,0.04999364912509918,-1.7997713014483452,2.999618947505951,0.0068884254433214664,0.11408007889986038,0.0650659129023552,0.7221012115478516,0.3255935609340668,0.3469153344631195,0.6387535333633423
-0.2,-0.02999618835747242,0.05999237671494484,-1.7997713014483452,3.5995426028966904,0.022427354007959366,0.20433805882930756,0.10864870250225067,0.6925258636474609,0.2356470376253128,0.27736008167266846,0.5854112505912781
-0.2,-0.02999618835747242,0.0699911043047905,-1.7997713014483452,4.19946625828743,0.007018752861768007,0.1170884221792221,0.09378416836261749,0.5139849185943604,0.20650501549243927,0.15744605660438538,0.3551952838897705
-0.2,-0.02999618835747242,0.07998983561992645,-1.7997713014483452,4.799390137195587,0.011384956538677216,0.14638790488243103,0.087628573179245,0.8260911703109741,0.30985909700393677,0.32967409491539,0.880332350730896
-0.2,-0.019997458904981613,-0.07998983561992645,-1.1998475342988968,-4.799390137195587,0.01882731355726719,0.18896892666816711,0.13216076791286469,0.7584261894226074,0.1985102891921997,0.2584940791130066,0.637723982334137
-0.2,-0.019997458904981613,-0.0699911043047905,-1.1998475342988968,-4.19946625828743,0.013372567482292652,0.16257600486278534,0.13733842968940735,0.5860339403152466,0.34946542978286743,0.3292957842350006,0.5557936429977417
-0.2,-0.019997458904981613,-0.05999237671494484,-1.1998475342988968,-3.5995426028966904,0.013297704048454762,0.1570616364479065,0.10455507785081863,0.43595489859580994,0.2550870180130005,0.28577136993408203,0.630134105682373
-0.2,-0.019997458904981613,-0.04999364912509918,-1.1998475342988968,-2.999618947505951,0.013950496912002563,0.15935558080673218,0.10211515426635742,0.6253441572189331,0.1694551557302475,0.2429659515619278,0.6059226393699646
-0.2,-0.019997458904981613,-0.039994917809963226,-1.1998475342988968,-2.3996950685977936,0.012640602886676788,0.15458597242832184,0.0745467096567154,0.6134725213050842,0.24638187885284424,0.34187793731689453,0.6114628911018372
-0.2,-0.019997458904981613,-0.02999618835747242,-1.1998475342988968,-1.7997713014483452,0.0088055320084095,0.13064973056316376,0.11153483390808105,0.524217963218689,0.3015736937522888,0.26039382815361023,0.40844351053237915
-0.2,-0.019997458904981613,-0.019997458904981613,-1.1998475342988968,-1.1998475342988968,0.0159110389649868,0.17667607963085175,0.1512264907360077,0.48458996415138245,0.29932403564453125,0.284048467874527,0.5436915159225464
-0.2,-0.019997458904981613,-0.009998729452490807,-1.1998475342988968,-0.5999237671494484,0.012956762686371803,0.15241539478302002,0.09827888011932373,0.29782766103744507,0.09145811945199966,0.12407010048627853,0.3240010440349579
-0.2,-0.019997458904981613,0.0,-1.1998475342988968,0.0,0.018692078068852425,0.18151883780956268,0.1022285595536232,0.6721961498260498,0.2017878144979477,0.2553015649318695,0.5560773015022278
-0.2,-0.019997458904981613,0.009998729452490807,-1.1998475342988968,0.5999237671494484,0.013738609850406647,0.1604180932044983,0.07692287862300873,0.7082198262214661,0.39449262619018555,0.44146454334259033,0.6198307275772095
-0.2,-0.019997458904981613,0.019997458904981613,-1.1998475342988968,1.1998475342988968,0.006356915924698114,0.11047004163265228,0.0830526277422905,0.4778105318546295,0.22375226020812988,0.20178453624248505,0.37094613909721375
-0.2,-0.019997458904981613,0.02999618835747242,-1.1998475342988968,1.7997713014483452,0.0168377123773098,0.1827888935804367,0.15890586376190186,0.4683294892311096,0.21465496718883514,0.21345604956150055,0.5225951075553894
-0.2,-0.019997458904981613,0.039994917809963226,-1.1998475342988968,2.3996950685977936,0.016032710671424866,0.17062799632549286,0.09958388656377792,0.5597645044326782,0.1423543393611908,0.1831965446472168,0.47943583130836487
-0.2,-0.019997458904981613,0.04999364912509918,-1.1998475342988968,2.999618947505951,0.01615920290350914,0.16889384388923645,0.08250497281551361,0.6893157958984375,0.28491896390914917,0.3056146204471588,0.7070996165275574
-0.2,-0.019997458904981613,0.05999237671494484,-1.1998475342988968,3.5995426028966904,0.017731010913848877,0.1839548945426941,0.1483197659254074,0.7118303179740906,0.4561106264591217,0.4372347593307495,0.7645235061645508
-0.2,-0.019997458904981613,0.0699911043047905,-1.1998475342988968,4.19946625828743,0.0059961723163723946,0.10597676783800125,0.07083543390035629,0.5857827067375183,0.2531890869140625,0.22859570384025574,0.5346998572349548
-0.2,-0.019997458904981613,0.07998983561992645,-1.1998475342988968,4.799390137195587,0.014565248042345047,0.16789430379867554,0.13601288199424744,0.8510795831680298,0.4313335120677948,0.41191160678863525,0.8103352189064026
-0.2,-0.009998729452490807,-0.07998983561992645,-0.5999237671494484,-4.799390137195587,0.04791794717311859,0.30368441343307495,0.19503745436668396,0.9142617583274841,0.36676883697509766,0.36322295665740967,0.8896788358688354
-0.2,-0.009998729452490807,-0.0699911043047905,-0.5999237671494484,-4.19946625828743,0.012590961530804634,0.15512320399284363,0.11006120592355728,0.6737880110740662,0.2829117774963379,0.26745685935020447,0.5906780362129211
-0.2,-0.009998729452490807,-0.05999237671494484,-0.5999237671494484,-3.5995426028966904,0.029784629121422768,0.2293855845928192,0.1177380234003067,0.7415275573730469,0.4250318706035614,0.4116405248641968,0.5898871421813965
-0.2,-0.009998729452490807,-0.04999364912509918,-0.5999237671494484,-2.999618947505951,0.08554684370756149,0.3764253854751587,0.10944590717554092,0.7675232887268066,0.3045313060283661,0.2511449158191681,0.6370924115180969
