input_mode,decoder_mode,fold,n_train_rows,n_test_rows,input_dim,latent,feature_space_mode,feature_dim,raw_feature_dim,feature_fit_scope,feature_preprocessing,feature_whitened,feature_variance_fraction,mlp_hidden_dim,mlp_layers,mlp_dropout,mlp_learning_rate,mlp_weight_decay,mlp_batch_size,mlp_epochs_requested,mlp_epochs_trained,mlp_best_epoch,mlp_best_val_loss,mlp_final_train_loss,mlp_final_val_loss,mlp_n_fit_rows,mlp_n_val_rows,mlp_device,target_standardized_for_training,response_standardized_for_training
zero_static,mlp,2,612,156,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,46,5,0.9228273034095764,0.0035625805612653494,0.9438868761062622,492,120,cuda,True,True
known_eye_model,mlp,2,612,156,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,41,0,1.4817838668823242,0.0030646681552752852,1.6283820867538452,492,120,cuda,True,True
observed_compact,mlp,3,618,150,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,166,125,0.9592384696006775,0.00013668962128576823,0.9643969535827637,492,126,cuda,True,True
observed_plus_continuous_tau,mlp,3,618,150,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,42,1,0.7662884593009949,0.0028492340352386236,0.8697991967201233,492,126,cuda,True,True
observed_plus_continuous_tau_interactions,mlp,3,618,150,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,41,0,1.170946478843689,0.004303985275328159,1.2016243934631348,492,126,cuda,True,True
observed_plus_true_tau_interactions,mlp,3,618,150,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,41,0,1.0406221151351929,0.0006340789550449699,1.3710901737213135,492,126,cuda,True,True
zero_static,mlp,3,618,150,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,41,0,1.1210930347442627,0.0029289547819644213,1.3356684446334839,492,126,cuda,True,True
known_eye_model,mlp,3,618,150,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,41,0,0.8205329775810242,0.003373292274773121,1.0330932140350342,492,126,cuda,True,True
observed_compact,mlp,4,618,150,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,42,1,1.2438393831253052,0.0028191922465339303,1.4312411546707153,492,126,cuda,True,True
observed_plus_continuous_tau,mlp,4,618,150,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,42,1,1.6238162517547607,0.0028334580129012465,1.8366516828536987,492,126,cuda,True,True
observed_plus_continuous_tau_interactions,mlp,4,618,150,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,41,0,1.2290458679199219,0.0035676530096679926,1.4450486898422241,492,126,cuda,True,True
observed_plus_true_tau_interactions,mlp,4,618,150,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,41,0,0.8611436486244202,0.000753610220272094,0.9267878532409668,492,126,cuda,True,True
zero_static,mlp,4,618,150,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,41,0,1.259063959121704,0.004804725293070078,1.784520149230957,492,126,cuda,True,True
known_eye_model,mlp,4,618,150,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,42,1,0.8955408930778503,0.00248038477730006,1.0630468130111694,492,126,cuda,True,True
