row_index,table_index,manifest_table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,true_candidate_index,true_candidate_id,true_source_row,n_candidates,n_trajectories,n_timebins,n_units,projection_basis_dim,continuous_inference_basis_dim,trajectory_rmse,trajectory_corr_mean,continuous_joint_true_rank,continuous_joint_correct,input_mode,decoder_mode,fold,latent,feature_space_mode,feature_dim,feature_variance_fraction,input_dim,n_train_rows,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
92,92,92,46,response_tables/trial_00046_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,0,source_row:1945,1945,4,16,40,756,20,20,0.15484016331269848,-0.15947466184013304,2,False,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.17666861507438913,-0.17666861507438913,0.4203196582059768,2.3776870446676646,0.41558562690141476,2.583891354515397,0.7132619468605909
93,93,93,46,response_tables/trial_00046_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,0,source_row:1945,1945,4,16,40,756,20,20,0.12972622330001873,0.378131253832508,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.17666861507438913,-0.17666861507438913,0.4203196582059768,2.3776870446676646,0.41558562690141476,2.583891354515397,0.7132619468605909
94,94,94,47,response_tables/trial_00047_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,0,source_row:1945,1945,4,16,40,756,20,20,0.18296799102845052,-0.1248912606670875,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.17775685449079587,-0.17775685449079587,0.42161220865956417,2.3849988141937235,0.40167716309404417,2.583891354515397,0.7396607520683104
95,95,95,47,response_tables/trial_00047_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,0,source_row:1945,1945,4,16,40,756,20,20,0.16791765118978658,0.31367038074318054,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.17775685449079587,-0.17775685449079587,0.42161220865956417,2.3849988141937235,0.40167716309404417,2.583891354515397,0.7396607520683104
96,96,96,48,response_tables/trial_00048_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,0,source_row:2122,2122,4,16,40,756,20,10,0.07061493959549729,0.3948314019296309,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.4069582359136258,-0.4069582359136258,0.6379327832253378,3.6086927756787532,0.334384940983661,3.781490868375987,0.6971255164479966
97,97,97,48,response_tables/trial_00048_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,0,source_row:2122,2122,4,16,40,756,20,10,0.05729114329897006,0.039454007078279535,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.4069582359136258,-0.4069582359136258,0.6379327832253378,3.6086927756787532,0.334384940983661,3.781490868375987,0.6971255164479966
98,98,98,49,response_tables/trial_00049_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,0,source_row:2122,2122,4,16,40,756,20,20,0.1630219637225457,0.13932184481697546,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.3923915479028684,-0.3923915479028684,0.6264116441309727,3.5435193710338018,0.38080600911664986,3.781490868375987,0.8651249347564226
99,99,99,49,response_tables/trial_00049_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,0,source_row:2122,2122,4,16,40,756,20,20,0.14003307237679447,-0.09410951880911539,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.3923915479028684,-0.3923915479028684,0.6264116441309727,3.5435193710338018,0.38080600911664986,3.781490868375987,0.8651249347564226
100,100,100,50,response_tables/trial_00050_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,0,source_row:2122,2122,4,16,40,756,20,20,0.2300667156201661,0.404079238767312,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.3834264151594352,-0.3834264151594352,0.619214353160063,3.5028053450201777,0.3918339704342317,3.781490868375987,1.0749535982301093
101,101,101,50,response_tables/trial_00050_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,0,source_row:2122,2122,4,16,40,756,20,20,0.1979293444232851,-0.06542642916537822,2,False,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.3834264151594352,-0.3834264151594352,0.619214353160063,3.5028053450201777,0.3918339704342317,3.781490868375987,1.0749535982301093
