trial_id,prior_family,prior_scale,response_cache_path,true_image_id_unsmoothed,continuous_joint_correct_unsmoothed,continuous_joint_pred_image_id_unsmoothed,continuous_joint_true_margin_unsmoothed,catalog_residual_true_best_anchor_index_unsmoothed,catalog_residual_true_anchor_score_gap_unsmoothed,trajectory_rmse_unsmoothed,trajectory_corr_mean_unsmoothed,nearest_trajectory_distance_unsmoothed,true_image_id_smooth6,continuous_joint_correct_smooth6,continuous_joint_pred_image_id_smooth6,continuous_joint_true_margin_smooth6,catalog_residual_true_best_anchor_index_smooth6,catalog_residual_true_anchor_score_gap_smooth6,trajectory_rmse_smooth6,trajectory_corr_mean_smooth6,nearest_trajectory_distance_smooth6,prediction_changed,anchor_changed,rmse_improved,corr_improved
105,axis_edge_parallel,0.5,response_tables/trial_00105_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,source_row:3717,True,source_row:3717,0.1443036965570172,2,2.571749285354485,0.1948665005145217,-0.8372902209907553,0.0834542214870452,source_row:3717,True,source_row:3717,0.1441844110869397,2,2.5721052316525856,0.1949400594822997,-0.8372627617683446,0.0834542214870452,False,False,False,True
105,axis_edge_orthogonal,0.5,response_tables/trial_00105_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,source_row:3717,True,source_row:3717,0.0852975246679079,2,1.46755928930844,0.0902322393582771,-0.0005287604199493,0.0948219001293182,source_row:3717,True,source_row:3717,0.0854186545599304,2,1.4690649502659312,0.0899705055544101,0.0004747112212452,0.0948219001293182,False,False,True,True
106,axis_edge_parallel,1.0,response_tables/trial_00106_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,source_row:3717,False,source_row:10506,-0.1622899771815582,9,1.4158840005532625,0.2386338242221846,-0.909654183765136,0.1129740700125694,source_row:3717,False,source_row:10506,-0.160501855905693,9,1.4196375733314426,0.2376295733707806,-0.9113254449785212,0.1129740700125694,False,False,True,False
106,axis_edge_orthogonal,1.0,response_tables/trial_00106_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,source_row:3717,True,source_row:3717,0.0731044896239154,9,0.5124561374007612,0.1071211650610029,0.0073325515410106,0.1184069141745567,source_row:3717,True,source_row:3717,0.0720641403544277,9,0.5134485783152059,0.1061635097286194,0.0069978573859797,0.1184069141745567,False,False,True,False
107,axis_edge_parallel,2.0,response_tables/trial_00107_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,source_row:3717,False,source_row:10506,-0.1505911133208997,8,1.052604706838224,0.2181142210583587,-0.7031982338567426,0.0990920439362526,source_row:3717,False,source_row:10506,-0.1460782824755142,8,1.0603711986772169,0.2152605090707379,-0.702696376834865,0.0990920439362526,False,False,True,True
107,axis_edge_orthogonal,2.0,response_tables/trial_00107_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,source_row:3717,True,source_row:3717,0.3301180477542971,8,1.0037518739558209,0.1031032367638292,0.042866802853818,0.1242545917630195,source_row:3717,True,source_row:3717,0.3232167676840163,8,1.0446980904254133,0.1015004244308098,0.0374219793047306,0.1242545917630195,False,False,True,False
108,axis_edge_parallel,0.5,response_tables/trial_00108_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,source_row:3742,True,source_row:3742,0.2869058799427648,13,0.7477550301986184,0.0204729769724758,0.0107104916421765,0.0142165925353765,source_row:3742,True,source_row:3742,0.2873164243772521,13,0.7484099753082774,0.0197410615169335,0.0044616539851489,0.0142165925353765,False,False,True,False
108,axis_edge_orthogonal,0.5,response_tables/trial_00108_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,source_row:3742,True,source_row:3742,0.3406117446811549,0,0.6467002863482207,0.0327414800339262,-0.2220153830259283,0.0220103468745946,source_row:3742,True,source_row:3742,0.3405180231299596,0,0.6484583211429822,0.0322304539871178,-0.2372370195898022,0.0220103468745946,False,False,True,False
109,axis_edge_parallel,1.0,response_tables/trial_00109_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,source_row:3742,True,source_row:3742,0.2804695587023502,6,0.9229669640711222,0.0413473970073809,-0.1073186595425897,0.028433185070753,source_row:3742,True,source_row:3742,0.2821021060747171,6,0.9251987025507448,0.0403614095343737,-0.1269963586380259,0.028433185070753,False,False,True,False
109,axis_edge_orthogonal,1.0,response_tables/trial_00109_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,source_row:3742,True,source_row:3742,0.2639244764438899,8,0.6677729250575339,0.0568981772501484,-0.0684669447926846,0.0412824153900146,source_row:3742,True,source_row:3742,0.2656215103316413,8,0.6659352364158622,0.0533558477200192,-0.0818142652122253,0.0412824153900146,False,False,True,False
110,axis_edge_parallel,2.0,response_tables/trial_00110_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,source_row:3742,True,source_row:3742,0.2092602389503781,12,0.7416585177397792,0.0775665952961015,0.1072686108346139,0.0568663701415061,source_row:3742,True,source_row:3742,0.2091210148882964,12,0.7483891046323379,0.0728065543616553,0.1106682630862558,0.0568663701415061,False,False,True,True
110,axis_edge_orthogonal,2.0,response_tables/trial_00110_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,source_row:3742,True,source_row:3742,0.2020894870448728,0,0.5753160753553175,0.0976310470625503,-0.6437436574751951,0.0769796296954155,source_row:3742,True,source_row:3742,0.2055208382375895,0,0.5788514968398886,0.0935424385321544,-0.661365278447264,0.0769796296954155,False,False,True,False
111,axis_edge_parallel,0.5,response_tables/trial_00111_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,source_row:3934,False,source_row:1425,-0.1319515557553359,8,0.9508769435616388,0.0697000814651348,0.0904609589308953,0.0329394713044166,source_row:3934,False,source_row:1425,-0.1317795114788396,8,0.9523895771658316,0.0695890643309786,0.0918655746736633,0.0329394713044166,False,False,True,True
111,axis_edge_orthogonal,0.5,response_tables/trial_00111_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,source_row:3934,True,source_row:3934,0.0272812072033161,6,0.7723073107192704,0.0550241634294039,0.2463604281290877,0.0464236475527286,source_row:3934,True,source_row:3934,0.027332110847567,6,0.7716446617495762,0.0547760390955138,0.2452761545679018,0.0464236475527286,False,False,True,False
112,axis_edge_parallel,1.0,response_tables/trial_00112_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,source_row:3934,False,source_row:1425,-0.0603271865556394,2,1.256231265290296,0.1474363769709718,-0.0521320659859276,0.0688274800777435,source_row:3934,False,source_row:1425,-0.0608985666638091,2,1.257615220227649,0.1450742580543858,-0.0505850973996302,0.0688274800777435,False,False,True,True
