table_index,manifest_table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,likelihood_scale,n_candidates,n_timebins,n_units,observer_mode,latent,posterior_temperature,analyzer_posterior_temperature,score_column,true_candidate_index_local,pred_candidate_index_local,true_candidate_id,pred_candidate_id,image_correct,true_rank,true_margin,candidate_posterior_true_mass,candidate_posterior_entropy,candidate_posterior_N_eff,candidate_posterior_N_eff_fraction,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm,map_feature_cosine,map_feature_mse,map_feature_rmse,axis_label,observer_label,feature_gain_vs_zero
85,85,42,response_tables/trial_00042_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:1918,source_row:1918,True,1,0.6500860963942614,0.9945174576844368,0.03401062651720337,1.0110251975201239,0.25275629938003097,1.357633412406956e-05,-1.357633412406956e-05,0.0036846077300127294,0.20422168941897845,0.9999888271922889,39.83355717057559,39.754051165613305,1.0,0.0,0.0,across contour,joint estimator,0.008282837728543324
90,90,45,response_tables/trial_00045_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:1945,source_row:1945,True,1,0.1122468941118484,0.6353743041972568,0.9290628159969981,2.0908921495722788,0.5227230373930697,0.054066799482029,-0.054066799482029,0.23252268595134754,12.887715391363711,0.9503185039283183,40.99625460433092,37.158692460707876,1.0,0.0,0.0,along contour,joint estimator,0.1688580648224305
91,91,45,response_tables/trial_00045_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:1945,source_row:1945,True,1,0.11062653047048343,0.6509028525513841,0.8774243394080041,1.9995441401299443,0.4998860350324861,0.05097890820624664,-0.05097890820624664,0.22578509296728747,12.514280083552137,0.9532522472022538,40.99625460433092,37.30695469448147,1.0,0.0,0.0,across contour,joint estimator,0.17179180809636596
96,96,48,response_tables/trial_00048_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:2122,source_row:2122,True,1,0.41681869425417517,0.9624099833662284,0.17271517624990831,1.078263443004047,0.26956586075101174,0.0006987528364958938,-0.0006987528364958938,0.026433933428377507,1.4651173037389824,0.9996372645121302,49.57218472284524,48.95078073570345,1.0,0.0,0.0,along contour,joint estimator,0.23830285524696293
97,97,48,response_tables/trial_00048_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:2122,source_row:2122,True,1,0.4185947623618631,0.9600225007259513,0.18597543915171483,1.0836377853250025,0.27090944633125064,0.0007602529433065027,-0.0007602529433065027,0.02757268473156908,1.528233307397001,0.9996112090448535,49.57218472284524,48.900962468365975,1.0,0.0,0.0,across contour,joint estimator,0.2382767997796862
102,102,51,response_tables/trial_00051_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:2309,source_row:2309,True,1,0.13275336421162365,0.740820029378145,0.5901911206192083,1.6275265267653634,0.40688163169134084,0.0042001692818180395,-0.0042001692818180395,0.0648087130084994,3.5920634785238716,0.9884675357846414,23.672621352603883,23.627710995056542,0.9999999999999998,0.0,0.0,along contour,joint estimator,0.06189142785706503
103,103,51,response_tables/trial_00051_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:2309,source_row:2309,True,1,0.14756169562514287,0.7632212330319327,0.5617966231734265,1.5687341335978928,0.3921835333994732,0.003512992164934829,-0.003512992164934829,0.05927049995516175,3.2851045539951684,0.9903502968925056,23.672621352603883,23.61401613669359,0.9999999999999998,0.0,0.0,across contour,joint estimator,0.06377418896492926
108,108,54,response_tables/trial_00054_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:2457,source_row:2457,True,1,0.08054341252352515,0.6548925364012944,0.6536942028958295,1.8278240246853785,0.45695600617134463,0.0012215285588031038,-0.0012215285588031038,0.03495037279920064,1.9371462858140411,0.999431671162644,56.760942083396294,56.42621418965171,1.0,0.0,0.0,along contour,joint estimator,0.0019940747116584667
109,109,54,response_tables/trial_00054_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:2457,source_row:2457,True,1,0.09179739920784868,0.6750649598913565,0.6382243109060055,1.7837286135823769,0.4459321533955942,0.0010828875162287542,-0.0010828875162287542,0.03290725628533552,1.823905274364525,0.9994959782448156,56.760942083396294,56.44996877161783,1.0,0.0,0.0,across contour,joint estimator,0.0020583817938301108
114,114,57,response_tables/trial_00057_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:2460,source_row:2460,True,1,0.008798318943377126,0.5173875753742073,0.6959557158139572,1.9990861616752054,0.49977154041880134,0.002388345815417955,-0.002388345815417955,0.04887070508410898,2.708689414636525,0.9988481035999346,56.099222241129,56.336024131208944,1.0,0.0,0.0,along contour,joint estimator,0.0003122837560072256
