trial_id,response_cache_path,prior_family,prior_scale,lag_model,lags,n_lags,n_candidates,n_trajectories,n_timebins,basis_dim,ridge,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1,median_coef_s3_over_s1
5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,instant,0,1,4,16,40,10,0.01,0.004059225133812655,0.004272377018800122,0.005818280501834638,1.6075952648113403e-07,
5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,lag0_1,"0,1",2,4,16,40,10,0.01,0.00550597975275538,0.005937337090341277,0.010429611475989808,0.1507923845698737,6.406576050029764e-08
5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,0.010416565452737475,0.010277536064779158,0.016815704634334766,0.11033813461982178,0.04977789112514311
5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,0.02231961905680077,0.023162242864660065,0.0324731113090404,0.09594339555901094,0.06742008234781259
5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,lag0_1_2_4_8,"0,1,2,4,8",5,4,16,40,10,0.01,0.052044090755348216,0.06052984219492641,0.07028082957593929,0.07985539606018527,0.049931686037626356
5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,instant,0,1,4,16,40,10,0.01,0.003950503835417146,0.0027718165831897013,0.0057438298188108305,1.966340649968615e-07,
5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,lag0_1,"0,1",2,4,16,40,10,0.01,0.005013640317400231,0.0038912497808271107,0.010162671384832456,0.1263197065181261,6.760906259203953e-08
5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,0.01044693761301635,0.010079575831491105,0.01701269701187083,0.09415350315315467,0.0525010236290622
5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,0.021763188957303975,0.02338617330952869,0.03261446521532224,0.1021616657133784,0.05349849968555381
5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,lag0_1_2_4_8,"0,1,2,4,8",5,4,16,40,10,0.01,0.03699365566302812,0.04428966263355494,0.061349671483512225,0.09893686926940375,0.04563199882293324
6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,instant,0,1,4,16,40,10,0.01,-0.002564294870415318,-0.0018211933539094005,0.0023527522787390454,3.781438585705578e-07,
