run_label,run_slug,observer,accuracy,observer_label
"Linear Poisson profile, k=10, A(t)",poisson_k10_timevary,continuous_joint_accuracy,0.5403645833333334,continuous joint
"Linear Poisson profile, k=10, A(t)",poisson_k10_timevary,joint_accuracy,0.76953125,finite joint
"Linear Poisson profile, k=10, A(t)",poisson_k10_timevary,known_accuracy,1.0,known eye
"Linear Poisson profile, k=10, A(t)",poisson_k10_timevary,zero_accuracy,0.4453125,zero eye
"Linear Poisson profile, k=10, matched Brownian prior",poisson_k10_matched_brownian,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"Linear Poisson profile, k=10, matched Brownian prior",poisson_k10_matched_brownian,continuous_joint_accuracy,0.546875,continuous joint
"Linear Poisson profile, k=10, matched Brownian prior",poisson_k10_matched_brownian,joint_accuracy,0.76953125,finite joint
"Linear Poisson profile, k=10, matched Brownian prior",poisson_k10_matched_brownian,known_accuracy,1.0,known eye
"Linear Poisson profile, k=10, matched Brownian prior",poisson_k10_matched_brownian,zero_accuracy,0.4453125,zero eye
"Linear Poisson profile, k=10, smooth A(t)",poisson_k10_timevary_smooth,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"Linear Poisson profile, k=10, smooth A(t)",poisson_k10_timevary_smooth,continuous_joint_accuracy,0.5598958333333334,continuous joint
"Linear Poisson profile, k=10, smooth A(t)",poisson_k10_timevary_smooth,joint_accuracy,0.76953125,finite joint
"Linear Poisson profile, k=10, smooth A(t)",poisson_k10_timevary_smooth,known_accuracy,1.0,known eye
"Linear Poisson profile, k=10, smooth A(t)",poisson_k10_timevary_smooth,zero_accuracy,0.4453125,zero eye
"Linear Poisson profile, k=20",poisson_k20,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"Linear Poisson profile, k=20",poisson_k20,continuous_joint_accuracy,0.4830729166666667,continuous joint
"Linear Poisson profile, k=20",poisson_k20,joint_accuracy,0.76953125,finite joint
"Linear Poisson profile, k=20",poisson_k20,known_accuracy,1.0,known eye
"Linear Poisson profile, k=20",poisson_k20,zero_accuracy,0.4453125,zero eye
"Linear Poisson profile, k=20, A(t)",poisson_k20_timevary,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"Linear Poisson profile, k=20, A(t)",poisson_k20_timevary,continuous_joint_accuracy,0.53515625,continuous joint
"Linear Poisson profile, k=20, A(t)",poisson_k20_timevary,joint_accuracy,0.76953125,finite joint
"Linear Poisson profile, k=20, A(t)",poisson_k20_timevary,known_accuracy,1.0,known eye
"Linear Poisson profile, k=20, A(t)",poisson_k20_timevary,zero_accuracy,0.4453125,zero eye
"Linear Poisson profile, k=5",poisson_k5,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"Linear Poisson profile, k=5",poisson_k5,continuous_joint_accuracy,0.4908854166666667,continuous joint
"Linear Poisson profile, k=5",poisson_k5,joint_accuracy,0.76953125,finite joint
"Linear Poisson profile, k=5",poisson_k5,known_accuracy,1.0,known eye
"Linear Poisson profile, k=5",poisson_k5,zero_accuracy,0.4453125,zero eye
"No-anchor DCT coarse-to-fine, k=10, AR(1)",noanchor_dct_c2f_k10_ar1_basis2_var0p05,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
