table_index,trial_id,response_cache_path,prior_scale,candidate_index,true_candidate_index,n_fit_trajectories,n_fit_samples,linear_train_r2,linear_residual_var,quadratic_train_r2,quadratic_residual_var,profile_energy,profile_start_index,optimizer_success,optimizer_iterations,optimizer_final_iterations,optimizer_stage_success_fraction,quadratic_continuation_scales,observation_continuation_scales,trajectory_hat_rms,trajectory_hat_temporal_std_mean
8,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,3,0,16,640,0.004191768192292944,8.89481651602338e-05,0.30010698304848715,6.251625330841703e-05,77.35571414524497,0,True,57,57,1.0,1,1,0.10919060772254235,0.017918076372969965
9,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,1.0,0,0,16,640,0.0034949493217680816,0.000149673650133911,0.2630972614074656,0.00011068174978516364,50.9907853025782,0,True,53,53,1.0,1,1,0.10254249440678061,0.016067721491254103
9,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,1.0,1,0,16,640,0.003666982434836319,0.00013098192966756316,0.3331809718288755,8.766270063231204e-05,89.67681856648626,1,False,80,80,0.0,1,1,0.09211509840242461,0.01796790533477148
9,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,1.0,2,0,16,640,0.004252762267454968,0.0001490687183421887,0.2827550776810007,0.00010737542345686527,50.3160025337136,1,True,58,58,1.0,1,1,0.09491779011404326,0.016151211587684306
9,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,1.0,3,0,16,640,0.0036662468573981366,0.00014542439372830447,0.2566726518313105,0.00010849570097182914,48.076521681237274,1,True,57,57,1.0,1,1,0.09942928030005878,0.016384500318123427
10,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,0,0,16,640,0.006673500168508206,0.00013338885901485395,0.14816288356942275,0.00011438895574260172,60.36068731664867,1,True,55,55,1.0,1,1,0.15021032336439308,0.025187921895119796
10,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,1,0,16,640,0.005938651594868838,0.00017869405882580091,0.16430196312884937,0.00015022641650925384,67.96418770064739,0,True,71,71,1.0,1,1,0.1423532835656763,0.02818595912035687
10,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,2,0,16,640,0.006530571658747708,0.00015031461074088427,0.14443402475380573,0.00012944944541172312,49.9293359529807,1,True,56,56,1.0,1,1,0.13737898590577166,0.024862417397252406
10,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,3,0,16,640,0.004130398585213801,0.00014372549417554945,0.14304084022665697,0.00012367771699398175,54.09173710584881,0,True,41,41,1.0,1,1,0.14371811822482666,0.025155898237978442
11,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,0,0,16,640,0.0040750900151209635,0.00023424988666733524,0.14041051634002177,0.00020218265163268214,38.3553079106578,1,True,53,53,1.0,1,1,0.1305338943399344,0.021936524110836603
