table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,n_candidates,n_trajectories,n_timebins,n_units,basis_dim,ridge,alpha,process_var,observation_var_floor,trajectory_initial_position,trajectory_initial_position_var,optimizer_max_iter,quadratic_continuation_scales,observation_continuation_scales,observer_mode,latent,image_correct,true_rank,true_margin,candidate_posterior_true_mass,candidate_posterior_entropy,candidate_posterior_N_eff,candidate_posterior_N_eff_fraction,pred_candidate_index_local,true_candidate_index_local,pred_candidate_id,true_candidate_id,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm,map_feature_cosine,map_feature_mse,map_feature_rmse
2,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,known,pyramid_local_field,True,1.0,4.0253786812668295,0.9816984697486693,0.0945517508999102,1.0373015968949932,0.2593253992237483,0,0,source_row:87,source_row:87,0.00012575830906719343,-0.00012575830906719343,0.011214201222877777,0.621554121098411,0.9998391048158062,31.988853179568522,31.744808435866066,1.0,0.0,0.0
3,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,zero,pyramid_local_field,True,1.0,4.7333533833137835,0.9912666107912312,0.050196756498539025,1.0176195390080212,0.2544048847520053,0,0,source_row:369,source_row:369,4.2737285388766887e-05,-4.2737285388766887e-05,0.006537376032382326,0.3623381579606154,0.9999709871571126,43.55782142770001,43.41095774743935,1.0000000000000002,0.0,0.0
3,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,joint,pyramid_local_field,True,1.0,1.0173480143967026,0.6272018010334474,1.0011720792095467,2.1886429101655587,0.5471607275413897,0,0,source_row:369,source_row:369,0.06429839689381682,-0.06429839689381682,0.2535712856255945,14.05434720141086,0.9487379423586001,43.55782142770001,38.49776649550964,1.0000000000000002,0.0,0.0
3,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,best_single_tau,pyramid_local_field,True,1.0,0.5839319250958397,0.5252232874139492,1.1184457131148988,2.6251673018034833,0.6562918254508708,0,0,source_row:369,source_row:369,0.10493628142369187,-0.10493628142369187,0.323938700101874,17.954505187656423,0.9119592693353353,43.55782142770001,37.99266395198566,1.0000000000000002,0.0,0.0
3,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,linear_continuous,pyramid_local_field,False,2.0,-72.57790999182993,3.018659878256907e-32,2.190880249400781e-30,1.0,0.25,1,0,source_row:2518,source_row:369,0.5608973843723165,-0.5608973843723165,0.7489308274949806,41.50995982642908,0.5746080243845249,43.55782142770001,46.294314203530945,0.5746080243845249,0.5608973843723165,0.7489308274949806
3,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_profile,pyramid_local_field,False,2.0,-31.26942216750564,2.629435368640689e-14,8.506368213412203e-13,1.0000000000000568,0.2500000000000142,1,0,source_row:2518,source_row:369,0.5608973843722856,-0.5608973843722856,0.7489308274949601,41.509959826427945,0.5746080243845414,43.55782142770001,46.294314203530284,0.5746080243845249,0.5608973843723165,0.7489308274949806
3,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_poisson,pyramid_local_field,True,1.0,1.140966741641705,0.5989197832140916,1.058989022442567,2.354703196018206,0.5886757990045515,0,0,source_row:369,source_row:369,0.07706296838892564,-0.07706296838892564,0.2776021764844895,15.386274366810817,0.9373250694533181,43.55782142770001,38.304747289965974,1.0000000000000002,0.0,0.0
3,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,known,pyramid_local_field,True,1.0,1.5533529683200413,0.7647662256062495,0.70378948217547,1.6233078584901242,0.40582696462253104,0,0,source_row:369,source_row:369,0.02757656297211288,-0.02757656297211288,0.16606192511263043,9.204086127928766,0.9790150190590523,43.55782142770001,40.21029098319325,1.0000000000000002,0.0,0.0
4,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,zero,pyramid_local_field,True,1.0,0.34776383915465203,0.5860518976735831,0.6786857591655069,1.9425890024858825,0.4856472506214706,0,0,source_row:420,source_row:420,0.126890715394259,-0.126890715394259,0.3562172306251608,19.743562943176283,0.9214662576520289,50.81129610299023,47.28636465345355,1.0,0.0,0.0
4,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,joint,pyramid_local_field,True,1.0,0.3007850384476569,0.49027459216378105,1.0660359375811066,2.5804220539406493,0.6451055134851623,0,0,source_row:420,source_row:420,0.1434598374313689,-0.1434598374313689,0.3787609238442753,20.993061248640352,0.9112251551908769,50.81129610299023,44.66958170305821,1.0,0.0,0.0
4,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,best_single_tau,pyramid_local_field,True,1.0,0.4928214289515154,0.5155370946028224,1.0846051280075435,2.594368799652173,0.6485921999130433,0,0,source_row:420,source_row:420,0.12371409699775936,-0.12371409699775936,0.35173014797961144,19.494863579341015,0.9250200220972703,50.81129610299023,44.28122298366931,1.0,0.0,0.0
4,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,linear_continuous,pyramid_local_field,False,2.0,-20.069706450958847,1.922371123125799e-09,4.050375487181742e-08,1.0000000038446615,0.25000000096116537,1,0,source_row:5125,source_row:420,0.6878716920328457,-0.6878716920328457,0.8293803060314645,45.96892252299266,0.5507538475924982,50.81129610299023,45.71830403006137,0.550753846104047,0.6878716946775136,0.8293803076258284
4,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_profile,pyramid_local_field,False,2.0,-53.02339715243872,9.380612687843357e-24,4.97391952080724e-22,1.0,0.25,1,0,source_row:5125,source_row:420,0.6878716946775136,-0.6878716946775136,0.8293803076258284,45.96892261136127,0.550753846104047,50.81129610299023,45.71830406415044,0.550753846104047,0.6878716946775136,0.8293803076258284
4,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_poisson,pyramid_local_field,True,1.0,0.5660133361574822,0.5638768538664524,0.9918962061015001,2.325757814371249,0.5814394535928122,0,0,source_row:420,source_row:420,0.10688843679344902,-0.10688843679344902,0.32693797086519183,18.12074164678354,0.9354106413276337,50.81129610299023,45.15879336519847,1.0,0.0,0.0
4,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,known,pyramid_local_field,True,1.0,0.7671719944580673,0.5752340573049399,1.034018650050576,2.3806440020782853,0.5951610005195713,0,0,source_row:420,source_row:420,0.09383796187291092,-0.09383796187291092,0.30632982530747954,16.978522281800096,0.9449817786664377,50.81129610299023,44.5524331949849,1.0,0.0,0.0
5,17,response_tables/trial_00017_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,zero,pyramid_local_field,True,1.0,0.0,0.49384583246915337,0.7509736106075979,2.0495209027945993,0.5123802256986498,0,0,source_row:454,source_row:454,9.426973491754463e-05,-9.426973491754463e-05,0.009709260266237826,0.5381418267210765,0.999911974986714,38.62978874581035,38.4623893526631,0.9999999999999999,0.0,0.0
5,17,response_tables/trial_00017_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,joint,pyramid_local_field,True,1.0,0.0,0.47176694834455696,0.8711414622843249,2.230566986750051,0.5576417466875128,0,0,source_row:454,source_row:454,0.0019840264286087542,-0.0019840264286087542,0.044542411571543296,2.46879103787382,0.9980921533089401,38.62978874581035,37.918631563835945,0.9999999999999999,0.0,0.0
5,17,response_tables/trial_00017_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,best_single_tau,pyramid_local_field,True,1.0,0.0,0.46640392701395095,0.8928937716799862,2.274898935051149,0.5687247337627872,0,0,source_row:454,source_row:454,0.002809355803999962,-0.002809355803999962,0.05300335653522296,2.9377442077022096,0.9972804650706742,38.62978874581035,37.800255900659934,0.9999999999999999,0.0,0.0
