run_family,run_slug,run_label,observer_mode,latent,prior_scale,posterior_temperature,n,image_accuracy,mean_feature_cosine,median_feature_cosine,mean_true_mass,median_N_eff_fraction
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,0.5,0.5,256,0.70703125,0.9014679641055732,0.9612112701527202,0.48247001948425744,0.5762513430782229
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,0.5,1.0,256,0.70703125,0.8934079844924695,0.9309617357780193,0.41249370052042883,0.7495805894888783
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,0.5,2.0,256,0.70703125,0.8829734582757187,0.8968515346338459,0.35020399835876725,0.8954916503676654
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,0.5,4.0,256,0.70703125,0.8709397642875646,0.8727127550157927,0.3072728538453004,0.9663122511449349
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,0.5,8.0,256,0.70703125,0.8612977418282012,0.853040927507118,0.2811286544363518,0.9916573500848513
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,0.5,16.0,256,0.70703125,0.8545733314412874,0.8468902194875738,0.26611815389067034,0.9979152207951942
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,1.0,0.125,256,0.54296875,0.8694456983898605,0.9898535067529632,0.5095168049936498,0.2726044006521407
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,1.0,0.25,256,0.54296875,0.874315958577802,0.9759033519735048,0.48676970818483245,0.3809564722931464
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,1.0,0.5,256,0.54296875,0.8761946349348776,0.9522742941211718,0.4488469389128518,0.505240475257295
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,1.0,1.0,256,0.54296875,0.8751321430893814,0.9151887738759834,0.40070424966477564,0.6995855997976567
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,1.0,2.0,256,0.54296875,0.8722605121607705,0.9010282778681818,0.35010322271203903,0.859559500327667
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,1.0,4.0,256,0.54296875,0.8666449787411007,0.8760148941687969,0.30808050318842684,0.946607255373074
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,1.0,8.0,256,0.54296875,0.8596466196925633,0.8577230489400152,0.28060760511690647,0.9843396437903706
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,1.0,16.0,256,0.54296875,0.8538961892848029,0.846308262179756,0.2656312823723965,0.9958597244716936
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,2.0,0.125,256,0.421875,0.8091766622492264,0.931995182733266,0.41002078586308394,0.25086149304229977
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,2.0,0.25,256,0.421875,0.8164951383625313,0.9107735191123314,0.4029756693163253,0.27752586816339575
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,2.0,0.5,256,0.421875,0.8288834898591168,0.906455566811313,0.3902436551734308,0.38143499196332964
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,2.0,1.0,256,0.421875,0.8448801751936958,0.9086379556021217,0.37076123863723964,0.5104763696697274
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,2.0,2.0,256,0.421875,0.8572981207685718,0.8952127523533906,0.3452705542917172,0.710431924756488
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,2.0,4.0,256,0.421875,0.8636295135078507,0.8830714087045582,0.3167790977246377,0.8761452541616614
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,2.0,8.0,256,0.421875,0.8623008870528986,0.8582661145797388,0.29077989452248004,0.9591601619201495
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,2.0,16.0,256,0.421875,0.8570786762128337,0.8507035555657203,0.2721662924014567,0.9894339884804744
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,0.5,0.125,256,0.81640625,0.9580190182570504,0.9974646708144654,0.6841758792650319,0.3123878910861361
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,0.5,0.25,256,0.81640625,0.9534823867075518,0.9888652776876281,0.6155600603729892,0.49053125201586817
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,0.5,0.5,256,0.81640625,0.9402651786382415,0.9602055124995699,0.525282472161731,0.6590541594528763
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,0.5,1.0,256,0.81640625,0.9179320209324762,0.9345021428786686,0.42661018257267985,0.8390854358335921
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,0.5,2.0,256,0.81640625,0.8921676249766592,0.8946695438654525,0.34676019334836167,0.9452038337553678
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,0.5,4.0,256,0.81640625,0.8719780061093654,0.8669138005864971,0.29947392342180124,0.9850050110466969
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,0.5,8.0,256,0.81640625,0.8597440867169722,0.8515449604166607,0.27488252111074685,0.9960182346139701
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,0.5,16.0,256,0.81640625,0.8530329632783834,0.8463275255831986,0.26245327671831703,0.9989834718734778
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,1.0,0.125,256,0.671875,0.933813757184554,0.9952338728485017,0.6109731269349181,0.3879313095691095
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,1.0,0.25,256,0.671875,0.9342529487873428,0.9789576837092977,0.5588671290188592,0.512648422884982
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,1.0,0.5,256,0.671875,0.9254934383299828,0.9567796478229383,0.49049497097773875,0.7100031134493796
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,1.0,1.0,256,0.671875,0.9096021965598792,0.9196647680178274,0.41337336752967113,0.8668455464466004
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,1.0,2.0,256,0.671875,0.8892433991747124,0.8950765215919078,0.34313857939647074,0.9571030439134796
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,1.0,4.0,256,0.671875,0.8712438209500589,0.8696035585639812,0.29845146947166107,0.9882345582849716
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,1.0,8.0,256,0.671875,0.859626897579597,0.8536267027430446,0.2746832307975283,0.9970485727084175
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,1.0,16.0,256,0.671875,0.8530966100094065,0.8464522080327099,0.2625484188645358,0.9992385996191
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,2.0,0.125,256,0.5859375,0.9001321817117444,0.9907027572652769,0.5487713568928375,0.34738175165881935
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,2.0,0.25,256,0.5859375,0.9086139591133064,0.9691648092589004,0.5172093319413776,0.49990626741103233
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,2.0,0.5,256,0.5859375,0.9096359619759263,0.945637366171256,0.4677412806496431,0.666789489453457
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,2.0,1.0,256,0.5859375,0.9017383439335472,0.9173516955950981,0.40648512505126216,0.8350521060073604
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,2.0,2.0,256,0.5859375,0.8871029274988088,0.895538143146587,0.34429531412009107,0.9463017885177218
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,2.0,4.0,256,0.5859375,0.8715515297031512,0.8705137689746898,0.3007539890955116,0.9852391561073303
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,2.0,8.0,256,0.5859375,0.8603516445903017,0.8567703350753888,0.27624709687893756,0.9963349582679626
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,continuous_joint,pyramid_local_field,2.0,16.0,256,0.5859375,0.8536230898833456,0.847425847790654,0.2633852567574794,0.9990731815933904
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,0.5,0.125,256,0.81640625,0.9580190182570504,0.9974646708144654,0.6841758792650319,0.3123878910861361
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,0.5,0.25,256,0.81640625,0.9534823867075518,0.9888652776876281,0.6155600603729892,0.49053125201586817
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,0.5,0.5,256,0.81640625,0.9402651786382415,0.9602055124995699,0.525282472161731,0.6590541594528763
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,0.5,1.0,256,0.81640625,0.9179320209324762,0.9345021428786686,0.42661018257267985,0.8390854358335921
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,0.5,2.0,256,0.81640625,0.8921676249766592,0.8946695438654525,0.34676019334836167,0.9452038337553678
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,0.5,4.0,256,0.81640625,0.8719780061093654,0.8669138005864971,0.29947392342180124,0.9850050110466969
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,0.5,8.0,256,0.81640625,0.8597440867169722,0.8515449604166607,0.27488252111074685,0.9960182346139701
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,0.5,16.0,256,0.81640625,0.8530329632783834,0.8463275255831986,0.26245327671831703,0.9989834718734778
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,1.0,0.125,256,0.703125,0.9386666534766421,0.9950561873372861,0.6185413212259991,0.37349466340958354
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,1.0,0.25,256,0.703125,0.9369796381281642,0.9773266595706482,0.5637211376505311,0.5001323344491686
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,1.0,0.5,256,0.703125,0.926854634762567,0.9525299376963821,0.4940546859206389,0.7046295622985995
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,1.0,1.0,256,0.703125,0.9103620762776532,0.9232570251996759,0.41585378307010123,0.8595469274122963
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,1.0,2.0,256,0.703125,0.8897109802438461,0.8960763627724688,0.34524896423267726,0.9496450825126936
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,1.0,4.0,256,0.703125,0.8716059238175774,0.8712522580789663,0.29990528706271297,0.9856268019946648
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,1.0,8.0,256,0.703125,0.859893641372333,0.8536070448888426,0.27550486352938214,0.9964894499329973
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,1.0,16.0,256,0.703125,0.8532487938611446,0.8467423858593135,0.2629303464498764,0.9991329023729386
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,2.0,0.125,256,0.60546875,0.8947736187237488,0.9928336119843484,0.5521142748077652,0.311277701844225
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,continuous_joint,pyramid_local_field,2.0,0.25,256,0.60546875,0.9070444648455401,0.972097788289668,0.5233388232197124,0.4662038240032962
