table_index,trial_id,prior_scale,prior_family,image_correct,feature_cosine,candidate_posterior_true_mass,residual_variance,B_train_r2_energy,B_singular1,B_singular2_fraction,B_singular3_fraction
30,15,0.5,axis_edge_parallel,True,0.997246663137846,0.4573767466410167,6.592924939215833e-05,0.297100892461312,1.699737299265314,0.007934171514903112,5.770295840694371e-09
31,15,0.5,axis_edge_orthogonal,True,0.9974994999101792,0.4606725696626753,8.018643244727238e-05,0.2820730833992836,1.807506321722523,0.00561115021394861,6.785742435233452e-09
32,16,1.0,axis_edge_parallel,True,0.997462758895004,0.4647022452937782,3.753911561620519e-05,0.1676710888467814,0.6516129071569371,0.025804356061255918,4.246175725567389e-09
33,16,1.0,axis_edge_orthogonal,True,0.9978112699074514,0.46962506887861,5.0777129738562e-05,0.1565086523592834,0.7312131861221226,0.020558343139698742,3.818917909456347e-09
34,17,2.0,axis_edge_parallel,True,0.9975359384719906,0.4671630490516387,8.568192775967142e-05,0.2158260439133561,0.9052331224537424,0.009553876790849795,3.0964153594139938e-09
35,17,2.0,axis_edge_orthogonal,True,0.9970789084715288,0.4638805323590814,0.0001030455393534,0.2210737043184272,1.007893274924691,0.011046838571873024,3.841372737396425e-09
36,18,0.5,axis_edge_parallel,True,0.9969926622240252,0.4544208377749364,5.388382637705562e-05,0.4991427194047839,2.204708762538894,0.006751967207455406,7.20096253217324e-09
37,18,0.5,axis_edge_orthogonal,True,0.99684796199642,0.4541422530790487,6.76034277494549e-05,0.4884318500347147,2.416951401991904,0.004761077755314398,8.34234253978353e-09
38,19,1.0,axis_edge_parallel,True,0.9977726744399212,0.4671803782641162,4.686891506878192e-05,0.182372094086166,0.6799019764252147,0.030941474324737997,2.401243723975328e-09
39,19,1.0,axis_edge_orthogonal,True,0.9993102747128016,0.4788800449959496,5.968947980192508e-05,0.174646020499765,0.7462624946517733,0.021302383146182307,1.9991946505149495e-09
40,20,2.0,axis_edge_parallel,True,0.996718949545624,0.4615212940564763,7.430342442751078e-05,0.1816354561718943,0.8441370411069211,0.010435177552742482,4.908591314861963e-09
41,20,2.0,axis_edge_orthogonal,True,0.9980524095278308,0.4694050357959514,9.534694858883238e-05,0.1809721311926087,0.9537967382986178,0.008567485162747638,4.661135514554433e-09
42,21,0.5,axis_edge_parallel,True,0.9388788275512276,0.5731795379226957,4.567222679544764e-05,0.4632960831688858,2.5715472351775976,0.007341509268116774,5.225022278306433e-09
43,21,0.5,axis_edge_orthogonal,True,0.937544177703615,0.5686595987409198,4.464372468295864e-05,0.4654099530660708,2.5448790910367776,0.005835186803419729,1.0821360899096322e-08
44,22,1.0,axis_edge_parallel,True,0.9729368807385548,0.7058827784237801,5.445044172642355e-05,0.1256198697527564,0.6121621910764817,0.01879859071975739,3.128121553475435e-09
45,22,1.0,axis_edge_orthogonal,True,0.976635127248822,0.7250112777332531,4.8653296573012686e-05,0.1242254613390526,0.5567471332713844,0.057080453567265446,2.6890984793075944e-09
46,23,2.0,axis_edge_parallel,True,0.9795245526083008,0.7404712877442041,8.066778743614478e-05,0.2652951721473036,1.1508596976201058,0.0066583943390757135,2.8017374881065965e-09
47,23,2.0,axis_edge_orthogonal,True,0.9928545949080936,0.8398330439390758,7.970063296265383e-05,0.2619014622853954,1.127359778202837,0.014908951226585284,2.704308466422736e-09
48,24,0.5,axis_edge_parallel,True,0.9531096867968554,0.6087451476592892,2.205330493080101e-05,0.2274471665315882,1.2672484092826308,0.020730923622243665,6.632443244273847e-10
49,24,0.5,axis_edge_orthogonal,True,0.9537459014772732,0.6111558112704761,4.104553779889542e-05,0.2219136134034106,1.7103044482191945,0.01649199336151159,6.373308918984444e-10
50,25,1.0,axis_edge_parallel,True,0.913657755653529,0.4750374391375274,2.8118094144427667e-05,0.1209299923243439,0.4509186543056306,0.020040838548285266,6.897825610677612e-10
51,25,1.0,axis_edge_orthogonal,True,0.9168221030168832,0.4840664094214476,5.772604234046608e-05,0.1141956801052382,0.6226152448982365,0.020989576637735995,5.813472346820853e-10
52,26,2.0,axis_edge_parallel,True,0.8722820351811525,0.3698418157783755,5.606632734414526e-05,0.1530815407043849,0.4971398793971344,0.016219510270354058,1.1528190813991086e-09
53,26,2.0,axis_edge_orthogonal,True,0.8540938076177825,0.3301259781386122,0.0001039634417362,0.1578834057978946,0.6899251312711047,0.012345102175752003,1.0292937210486327e-09
54,27,0.5,axis_edge_parallel,True,0.9352165137740904,0.2888231693557231,2.1420317976284373e-05,0.5107000313161093,1.960717603893608,0.010763134796523105,3.3257912160537364e-09
55,27,0.5,axis_edge_orthogonal,True,0.934884279977375,0.2874336220574932,2.893167215354134e-05,0.4825409228679749,2.151150837747267,0.011276088673730764,2.5800185132700705e-09
56,28,1.0,axis_edge_parallel,True,0.9472815483370022,0.310300610217383,4.944450380595744e-05,0.184694002214555,0.73438945959244,0.019047296028663344,4.512074432274409e-09
57,28,1.0,axis_edge_orthogonal,True,0.9415878987818388,0.2975208085631386,6.153680766242175e-05,0.1764503338174267,0.7919809965999262,0.020502635810073316,2.849068987661218e-09
58,29,2.0,axis_edge_parallel,True,0.9756769492866468,0.3803535753485231,6.684097847470537e-05,0.3006894531765131,1.057382771888915,0.007776133626350413,4.40768757006418e-09
59,29,2.0,axis_edge_orthogonal,False,0.975334172018721,0.3598627594094183,9.464508041690602e-05,0.2766667966492057,1.1860616843101293,0.009015351226374054,4.971161748571711e-09
60,30,0.5,axis_edge_parallel,True,0.9449502621465894,0.2780691865353449,7.136943228016917e-05,0.365555046950905,1.4973205842588215,0.004367271946749953,2.7400297539118848e-08
61,30,0.5,axis_edge_orthogonal,True,0.9440838800292862,0.2778613562139634,9.058544294258944e-05,0.3460240260766994,1.616452871091264,0.004098495683883106,2.6330100254628107e-08
62,31,1.0,axis_edge_parallel,False,0.9596194818413633,0.2927733610701068,3.96960415437494e-05,0.0666014463098522,0.3380858563413366,0.029732742707036307,2.2956698726053983e-09
63,31,1.0,axis_edge_orthogonal,False,0.9537093307857304,0.2858313850299804,5.1074004735934775e-05,0.0661271463280649,0.3791054125325006,0.03238825450197698,2.4724688775951525e-09
64,32,2.0,axis_edge_parallel,True,0.9786589269640882,0.36129009162801,7.023921020156663e-05,0.2067027494900469,0.8681570637766038,0.009088196955176382,2.6026921666732886e-09
