latent,feature_space_mode,observer_mode,observer_label,observation_scale,prior_family,n,mean_feature_cosine,median_feature_cosine,mean_feature_mse,median_feature_mse,mean_feature_rmse,median_feature_pred_norm,median_feature_true_norm
pyramid_local_field,fold_centered_whitened_pca,hidden_eye_tau_marginal,hidden eye,1.0,axis_edge_orthogonal,1,0.28487636721543674,0.28487636721543674,0.70407806263891,0.70407806263891,0.8390935958752814,1.4439201089749545,2.3392699273037496
pyramid_local_field,fold_zscore_pca,hidden_eye_tau_marginal,hidden eye,1.0,axis_edge_orthogonal,1,0.328304305951237,0.328304305951237,55.70961608715642,55.70961608715642,7.4638874647971765,2.1458700185638016,21.71802944852928
pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_tau_marginal,hidden eye,1.0,axis_edge_orthogonal,1,0.6005430755875014,0.6005430755875014,0.4306515225670364,0.4306515225670364,0.6562404456958109,1.6381939110617894,2.298875268440312
pyramid_local_field,global_centered_whitened_pca,hidden_eye_tau_marginal,hidden eye,1.0,axis_edge_orthogonal,1,0.3603995598103418,0.3603995598103418,1.5081378395093141,1.5081378395093141,1.2280626366392369,1.5415605926218605,3.7174380186666656
pyramid_local_field,fold_centered_whitened_pca,known_eye,known eye,1.0,axis_edge_orthogonal,1,0.7580211013755717,0.7580211013755717,0.4841591903548817,0.4841591903548817,0.6958154858544625,3.016350953203373,2.3392699273037496
pyramid_local_field,fold_zscore_pca,known_eye,known eye,1.0,axis_edge_orthogonal,1,0.5538084628899403,0.5538084628899403,43.538891919497004,43.538891919497004,6.598400709224698,7.412200063755304,21.71802944852928
pyramid_local_field,fold_zscore_whitened_pca,known_eye,known eye,1.0,axis_edge_orthogonal,1,0.724066380599365,0.724066380599365,0.388122867473544,0.388122867473544,0.6229950782097271,2.433201534526245,2.298875268440312
pyramid_local_field,global_centered_whitened_pca,known_eye,known eye,1.0,axis_edge_orthogonal,1,0.8395553719462795,0.8395553719462795,0.5118966361884687,0.5118966361884687,0.7154695214951289,3.2492051272503586,3.7174380186666656
pyramid_local_field,fold_centered_whitened_pca,zero_eye_on_motion,zero-eye model,1.0,axis_edge_orthogonal,1,0.27835342024317916,0.27835342024317916,17.550737244103857,17.550737244103857,4.1893600041180346,12.285476700649001,2.3392699273037496
pyramid_local_field,fold_zscore_pca,zero_eye_on_motion,zero-eye model,1.0,axis_edge_orthogonal,1,-0.09732136397539272,-0.09732136397539272,1295.409970604629,1295.409970604629,35.991804214357316,97.36538655375114,21.71802944852928
pyramid_local_field,fold_zscore_whitened_pca,zero_eye_on_motion,zero-eye model,1.0,axis_edge_orthogonal,1,-0.11551388220837024,-0.11551388220837024,15.02008655178329,15.02008655178329,3.8755756413445592,10.455753080696253,2.298875268440312
pyramid_local_field,global_centered_whitened_pca,zero_eye_on_motion,zero-eye model,1.0,axis_edge_orthogonal,1,0.548291920723853,0.548291920723853,20.52111244819158,20.52111244819158,4.530023448967078,14.468204283680308,3.7174380186666656
pyramid_local_field,fold_centered_whitened_pca,zero_static,0x stabilized,1.0,axis_edge_orthogonal,1,0.7548866116291052,0.7548866116291052,1.049160012098521,1.049160012098521,1.0242851224627452,4.223410967675767,2.3392699273037496
pyramid_local_field,fold_zscore_pca,zero_static,0x stabilized,1.0,axis_edge_orthogonal,1,0.6025095853184599,0.6025095853184599,55.4655213543791,55.4655213543791,7.4475177981914955,25.055157641329032,21.71802944852928
pyramid_local_field,fold_zscore_whitened_pca,zero_static,0x stabilized,1.0,axis_edge_orthogonal,1,0.6123308214736218,0.6123308214736218,0.8745125153380158,0.8745125153380158,0.9351537388782744,3.3293416624519643,2.298875268440312
pyramid_local_field,global_centered_whitened_pca,zero_static,0x stabilized,1.0,axis_edge_orthogonal,1,0.6582323810366866,0.6582323810366866,1.3894376721967046,1.3894376721967046,1.1787441080220527,4.259025800980396,3.7174380186666656
pyramid_local_field,fold_centered_whitened_pca,hidden_eye_prior_mean,prior mean,1.0,axis_edge_parallel,1,0.2047109867279966,0.2047109867279966,0.8039249081905988,0.8039249081905988,0.8966185968351308,1.5690742481063458,2.3392699273037496
pyramid_local_field,fold_zscore_pca,hidden_eye_prior_mean,prior mean,1.0,axis_edge_parallel,1,0.4058695147461665,0.4058695147461665,52.00764887475962,52.00764887475962,7.21163288546773,4.114996887458957,21.71802944852928
pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_prior_mean,prior mean,1.0,axis_edge_parallel,1,0.6415824555891069,0.6415824555891069,0.4046234086378552,0.4046234086378552,0.6361001561372668,1.832049659029418,2.298875268440312
pyramid_local_field,global_centered_whitened_pca,hidden_eye_prior_mean,prior mean,1.0,axis_edge_parallel,1,0.32870000643207253,0.32870000643207253,1.5712865001024046,1.5712865001024046,1.2535096729193616,1.7159256551572026,3.7174380186666656
pyramid_local_field,fold_centered_whitened_pca,hidden_eye_tau_marginal,hidden eye,1.0,axis_edge_parallel,1,0.28487636721543674,0.28487636721543674,0.70407806263891,0.70407806263891,0.8390935958752814,1.4439201089749545,2.3392699273037496
pyramid_local_field,fold_zscore_pca,hidden_eye_tau_marginal,hidden eye,1.0,axis_edge_parallel,1,0.328304305951237,0.328304305951237,55.70961608715642,55.70961608715642,7.4638874647971765,2.1458700185638016,21.71802944852928
pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_tau_marginal,hidden eye,1.0,axis_edge_parallel,1,0.6005430755875014,0.6005430755875014,0.4306515225670364,0.4306515225670364,0.6562404456958109,1.6381939110617894,2.298875268440312
pyramid_local_field,global_centered_whitened_pca,hidden_eye_tau_marginal,hidden eye,1.0,axis_edge_parallel,1,0.3603995598103418,0.3603995598103418,1.5081378395093141,1.5081378395093141,1.2280626366392369,1.5415605926218605,3.7174380186666656
pyramid_local_field,fold_centered_whitened_pca,known_eye,known eye,1.0,axis_edge_parallel,1,0.7580211013755717,0.7580211013755717,0.4841591903548817,0.4841591903548817,0.6958154858544625,3.016350953203373,2.3392699273037496
pyramid_local_field,fold_zscore_pca,known_eye,known eye,1.0,axis_edge_parallel,1,0.5538084628899403,0.5538084628899403,43.538891919497004,43.538891919497004,6.598400709224698,7.412200063755304,21.71802944852928
