latent,feature_space_mode,contrast,lhs,rhs,observation_scale,prior_family,mean_feature_cosine_delta,ci_low,ci_high,fraction_positive,n
pyramid_local_field,fold_zscore_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,all,all,0.3808549095779479,0.12967147497095816,0.6892203503752399,0.5,8
pyramid_local_field,fold_zscore_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,all,all,0.39961087645353466,0.06875610329237355,0.6020982823625722,0.75,8
pyramid_local_field,global_centered_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,all,all,0.15947024800173654,-0.27932458647710523,0.4871967851095004,0.75,8
pyramid_local_field,fold_centered_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,0.5,all,0.011453116432800226,0.0024821399250943843,0.020424092940506067,1.0,4
pyramid_local_field,fold_zscore_pca,known_motion_minus_zero_static,known_eye,zero_static,0.5,all,0.0685306326607511,-0.01685825523117024,0.13363965967834107,0.5,4
pyramid_local_field,fold_zscore_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,0.5,all,0.1084327581168113,0.09137895040622887,0.11961558284506207,1.0,4
pyramid_local_field,global_centered_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,0.5,all,0.05495594798234066,0.017041275521763904,0.11277582348472015,0.5,4
pyramid_local_field,fold_centered_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,1.0,all,0.0031344897464664623,0.0031344897464664623,0.0031344897464664623,1.0,2
pyramid_local_field,fold_zscore_pca,known_motion_minus_zero_static,known_eye,zero_static,1.0,all,-0.04870112242851954,-0.04870112242851954,-0.04870112242851954,0.0,2
pyramid_local_field,fold_zscore_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,1.0,all,0.11173555912574318,0.11173555912574318,0.11173555912574318,1.0,2
pyramid_local_field,global_centered_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,1.0,all,0.18132299090959292,0.18132299090959292,0.18132299090959292,1.0,2
pyramid_local_field,fold_centered_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,2.0,all,-1.3928873286386931,-1.3928873286386931,-1.3928873286386931,0.0,2
pyramid_local_field,fold_zscore_pca,known_motion_minus_zero_static,known_eye,zero_static,2.0,all,-1.0812452441850258,-1.0812452441850258,-1.0812452441850258,0.0,2
pyramid_local_field,fold_zscore_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,2.0,all,-1.234130214224419,-1.234130214224419,-1.234130214224419,0.0,2
pyramid_local_field,global_centered_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,2.0,all,-1.1725693164980715,-1.1725693164980715,-1.1725693164980715,0.0,2
pyramid_local_field,fold_centered_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,all,all,-0.3417116515066566,-0.6929007456081091,0.013850808223100544,0.75,8
