table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,observation_scale,axis_catalog_mode,n_candidates,n_prior_trajectories,n_timebins,n_units,true_candidate_index,true_source_row,true_candidate_id,observer_mode,observer_label,train_bank,test_input,latent,feature_space_mode,feature_fit_scope,feature_preprocessing,feature_whitened,feature_weighted,feature_variance_fraction,fold,n_train_samples,n_fit_sources,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,25,source_row:25,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,0.388122867473544,-0.388122867473544,0.6229950782097271,1.7620961777917665,0.724066380599365,2.298875268440312,2.433201534526245
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,25,source_row:25,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,0.388122867473544,-0.388122867473544,0.6229950782097271,1.7620961777917665,0.724066380599365,2.298875268440312,2.433201534526245
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,25,source_row:25,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,3.4158595434903347,-3.4158595434903347,1.8482044106349098,5.227511487115325,-0.6217993927507973,2.298875268440312,3.478243038601959
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,25,source_row:25,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,3.4158595434903347,-3.4158595434903347,1.8482044106349098,5.227511487115325,-0.6217993927507973,2.298875268440312,3.478243038601959
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,416,127,1.058564830021171,-1.058564830021171,1.0288657978673268,2.910071930411578,0.11419345723220285,2.298875268440312,2.06601479875839
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,416,127,1.058564830021171,-1.058564830021171,1.0288657978673268,2.910071930411578,0.11419345723220285,2.298875268440312,2.06601479875839
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,416,127,0.4306515225670364,-0.4306515225670364,0.6562404456958109,1.8561282769615604,0.6005430755875014,2.298875268440312,1.6381939110617894
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,416,127,0.4306515225670364,-0.4306515225670364,0.6562404456958109,1.8561282769615604,0.6005430755875014,2.298875268440312,1.6381939110617894
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,416,127,2.5418256995488155,-2.5418256995488155,1.594310415053736,4.509390823203343,0.31717528578236537,2.298875268440312,4.6764787597757635
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,416,127,2.5418256995488155,-2.5418256995488155,1.594310415053736,4.509390823203343,0.31717528578236537,2.298875268440312,4.6764787597757635
