motion_summary,family,scale_id,latent,k,incremental_gain_neg_mse,ci95_low,ci95_high,n_images,n_sessions,information_variance_floor,incremental_gain_info_diag_bits,info_diag_ci95_low,info_diag_ci95_high,incremental_gain_info_diag_bits_per_dim,info_diag_per_dim_ci95_low,info_diag_per_dim_ci95_high,incremental_gain_info_full_bits,info_full_ci95_low,info_full_ci95_high,incremental_gain_info_full_bits_per_dim,info_full_per_dim_ci95_low,info_full_per_dim_ci95_high,information_ci_method,ridge_alpha_matched_all_folds,n_information_folds,n_information_bootstrap_success,scale,observer,plotted_metric,static_summary,trace_samples_per_image,sample_rows
delta_mean,brownian,rel_1x,pyramid_local_field,16,2.8270554665444725,1.035297321440614,4.761083665848692,384,30,1e-12,0.8181187478806177,0.3440877239283154,1.805734945643561,0.0511324217425386,0.0215054827455197,0.1128584341027225,0.977766407489444,0.4225197107089911,1.9117968095495013,0.0611104004680902,0.0264074819193119,0.1194873005968438,decode_pipeline_group_bootstrap_point_centered,True,5,50,1.0,motion_rendered_static_plus_motion,info_diag_bits,,,
delta_mean,rotated,rel_1x,pyramid_local_field,16,3.065196367769055,1.7645761480721716,5.448212698264912,384,30,1e-12,0.7851351276417575,0.0092415568641927,1.3333499485126716,0.0490709454776098,0.000577597304012,0.0833343717820419,0.8271316758937289,-0.0552346291436312,1.5605924384431082,0.051695729743358,-0.0034521643214769,0.0975370274026942,decode_pipeline_group_bootstrap_point_centered,True,5,50,1.0,motion_rendered_static_plus_motion,info_diag_bits,,,
delta_mean,empirical,rel_1p5x,pyramid_local_field,16,2.9191314757233604,0.8613404095499196,5.320889864914144,384,30,1e-12,0.6904602533230298,-0.0131194355289939,1.5958215167723864,0.0431537658326893,-0.0008199647205621,0.0997388447982741,0.6791567327574937,-0.0130112951072934,1.5171201300686894,0.0424472957973433,-0.0008132059442058,0.094820008129293,decode_pipeline_group_bootstrap_point_centered,True,5,50,1.5,motion_rendered_static_plus_motion,info_diag_bits,,,
delta_mean,pose_unaware,rel_1p5x,pyramid_local_field,16,-0.8229442496172499,-2.8084197746810187,0.999583328996852,384,30,,-0.6170601897189029,-1.4383329208488784,0.3477809477696789,-0.0385662618574314,-0.0898958075530549,0.0217363092356049,-1.0444810864113336,-1.8956574932516248,-0.4354194646667432,-0.0652800679007083,-0.1184785933282265,-0.0272137165416714,decode_pipeline_group_bootstrap_point_centered,True,5,50,1.5,pose_unaware_train_mean_test_hidden_samples,info_diag_bits,mean,8.0,3072.0
delta_mean,brownian,rel_1p5x,pyramid_local_field,16,3.049367792319849,1.168722376096194,4.24028999736003,384,30,1e-12,0.8094653171854885,-0.0686515940504296,1.514163379406376,0.050591582324093,-0.0042907246281518,0.0946352112128985,0.9564608735808106,0.1085125566405513,1.7543292281250389,0.0597788045988006,0.0067820347900344,0.1096455767578149,decode_pipeline_group_bootstrap_point_centered,True,5,50,1.5,motion_rendered_static_plus_motion,info_diag_bits,,,
delta_mean,rotated,rel_1p5x,pyramid_local_field,16,2.916542937814377,1.079247321882295,4.466951861551147,384,30,1e-12,0.5870587457857002,-0.1069666667782374,1.4106762465293612,0.0366911716116062,-0.0066854166736398,0.088167265408085,0.7280414535502723,0.0555587522999846,1.6091084083641165,0.045502590846892,0.003472422018749,0.1005692755227572,decode_pipeline_group_bootstrap_point_centered,True,5,50,1.5,motion_rendered_static_plus_motion,info_diag_bits,,,
delta_mean,empirical,rel_2x,pyramid_local_field,16,2.878789071793788,0.9389516917251018,4.300729982535862,384,30,1e-12,0.7184199366714367,0.0746650370672298,1.5295361238957828,0.0449012460419647,0.0046665648167018,0.0955960077434864,0.7089763099391692,0.0155191535443695,1.2155579422878202,0.044311019371198,0.000969947096523,0.0759723713929887,decode_pipeline_group_bootstrap_point_centered,True,5,50,2.0,motion_rendered_static_plus_motion,info_diag_bits,,,
delta_mean,pose_unaware,rel_2x,pyramid_local_field,16,-0.2229850726688758,-2.2874341770464173,2.853678846678078,384,30,,-0.4930845391917786,-1.444353463837626,0.3473891989848686,-0.0308177836994861,-0.0902720914898516,0.0217118249365542,-0.9826233305835969,-1.8681879382448123,-0.3207860116357152,-0.0614139581614748,-0.1167617461403007,-0.0200491257272322,decode_pipeline_group_bootstrap_point_centered,True,5,50,2.0,pose_unaware_train_mean_test_hidden_samples,info_diag_bits,mean,8.0,3072.0
delta_mean,brownian,rel_2x,pyramid_local_field,16,3.616708579972277,2.0166043216931984,5.458124378713439,384,30,1e-12,1.00624434924813,0.4764248845772505,1.850048340297928,0.0628902718280081,0.0297765552860781,0.1156280212686205,1.050662063318844,0.5515738809842421,1.882563042177005,0.0656663789574277,0.0344733675615151,0.1176601901360628,decode_pipeline_group_bootstrap_point_centered,True,5,50,2.0,motion_rendered_static_plus_motion,info_diag_bits,,,
delta_mean,rotated,rel_2x,pyramid_local_field,16,3.084537612562712,1.2195084299561532,5.4679948208071645,384,30,1e-12,0.6236319724531261,-0.2379829742348573,1.4332532646815324,0.0389769982783203,-0.0148739358896785,0.0895783290425957,0.7407302188815859,0.1116790704212328,1.4459579913038687,0.0462956386800991,0.006979941901327,0.0903723744564918,decode_pipeline_group_bootstrap_point_centered,True,5,50,2.0,motion_rendered_static_plus_motion,info_diag_bits,,,
