row_index,table_index,manifest_table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,true_candidate_index,true_candidate_id,true_source_row,n_candidates,n_trajectories,n_timebins,n_units,projection_basis_dim,continuous_inference_basis_dim,trajectory_rmse,trajectory_corr_mean,continuous_joint_true_rank,continuous_joint_correct,input_mode,decoder_mode,fold,latent,feature_space_mode,feature_dim,feature_variance_fraction,input_dim,n_train_rows,train_source,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
28,28,28,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,0,source_row:420,420,4,16,40,756,8,20,0.16203736329664056,0.1787580757191293,1,True,observed_plus_continuous_tau,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,560,30,observed_true_rows,0.30043040860084236,-0.30043040860084236,0.548115324179905,1.5503042503994948,0.47357791369694213,1.006123909707421,1.748558755575811
29,29,29,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,0,source_row:420,420,4,16,40,756,8,20,0.1668825335596601,-0.4591047985750839,1,True,observed_plus_continuous_tau,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,560,30,observed_true_rows,0.28734900127021357,-0.28734900127021357,0.5360494392033384,1.516176774047706,0.4908892396718889,1.006123909707421,1.7310046749874202
0,0,0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,0,source_row:25,25,4,16,40,756,8,10,0.04160556828637218,-0.002927453861007928,1,True,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,1.2364994552992707,-1.2364994552992707,1.1119799707275626,3.1451543113803124,-0.3104653191740022,2.2740209449050988,1.5785668605366567
1,1,1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,0,source_row:25,25,4,16,40,756,8,10,0.035949913988888416,0.3886572906367649,1,True,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,1.2418209411282208,-1.2418209411282208,1.1143701993180815,3.1519148987600807,-0.3105242079979209,2.2740209449050988,1.587772501847023
2,2,2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,0,source_row:25,25,4,16,40,756,8,20,0.12799343940103788,0.12587299523754966,3,False,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,1.1630235662220703,-1.1630235662220703,1.0784357033324101,3.050276795600124,-0.25385266574126947,2.2740209449050988,1.5360850002118531
3,3,3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,0,source_row:25,25,4,16,40,756,8,20,0.11254072629306021,0.3933590444713258,3,False,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,1.179746830610601,-1.179746830610601,1.0861615122119734,3.072128682995686,-0.25704647265964203,2.2740209449050988,1.562207440073426
4,4,4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,0,source_row:25,25,4,16,40,756,8,20,0.15817259829241262,0.11456868941931331,3,False,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,1.239387981368043,-1.239387981368043,1.1132780341711783,3.1488257892338765,-0.3251216630316432,2.2740209449050988,1.5607853462012808
5,5,5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,0,source_row:25,25,4,16,40,756,8,20,0.1496936672164485,0.3382530869742966,3,False,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,1.1272543138580184,-1.1272543138580184,1.0617223336908848,3.003004247560124,-0.2810536437506569,2.2740209449050988,1.4237256790212023
18,18,18,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,0,source_row:369,369,4,16,40,756,8,10,0.04063447636354513,-0.161993955187515,1,True,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,0.2829212700169421,-0.2829212700169421,0.5319034405011328,1.5044501188592252,0.48436136434494687,1.3032474367250582,1.6127637879930043
19,19,19,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,0,source_row:369,369,4,16,40,756,8,10,0.043906673442477055,-0.009917828830535852,1,True,observed_plus_continuous_tau_interactions,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,1200,30,observed_true_rows,0.2626119328692188,-0.2626119328692188,0.5124567619509169,1.4494466057615751,0.4948878644862272,1.3032474367250582,1.5496252081726545
