table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,observation_scale,axis_catalog_mode,n_candidates,n_prior_trajectories,n_timebins,n_units,true_candidate_index,true_source_row,true_candidate_id,decoder_mode,observer_mode,observer_label,train_bank,test_input,latent,feature_space_mode,feature_fit_scope,feature_preprocessing,feature_whitened,feature_weighted,feature_variance_fraction,fold,n_train_samples,n_fit_sources,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
92,46,response_tables/trial_00046_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,1945,source_row:1945,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.1955259481937961,-0.1955259481937961,0.4421831613639263,2.5013656954155015,0.31563787366735513,2.583891354515397,1.311050224201683
93,46,response_tables/trial_00046_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,1945,source_row:1945,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.1955259481937961,-0.1955259481937961,0.4421831613639263,2.5013656954155015,0.31563787366735513,2.583891354515397,1.311050224201683
94,47,response_tables/trial_00047_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,1945,source_row:1945,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.18381366819259473,-0.18381366819259473,0.4287349626431168,2.425291195333672,0.37091461045157237,2.583891354515397,1.310651925268589
95,47,response_tables/trial_00047_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,1945,source_row:1945,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.18381366819259473,-0.18381366819259473,0.4287349626431168,2.425291195333672,0.37091461045157237,2.583891354515397,1.310651925268589
96,48,response_tables/trial_00048_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,2122,source_row:2122,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.3795969891103377,-0.3795969891103377,0.6161144285847701,3.4852695235133258,0.3918114063183602,3.781490868375987,1.6881781990891704
97,48,response_tables/trial_00048_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,2122,source_row:2122,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.3795969891103377,-0.3795969891103377,0.6161144285847701,3.4852695235133258,0.3918114063183602,3.781490868375987,1.6881781990891704
98,49,response_tables/trial_00049_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,2122,source_row:2122,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.36916027331603757,-0.36916027331603757,0.6075856098658341,3.4370232390999633,0.42516351290057114,3.781490868375987,1.9213151158112478
99,49,response_tables/trial_00049_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,2122,source_row:2122,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.36916027331603757,-0.36916027331603757,0.6075856098658341,3.4370232390999633,0.42516351290057114,3.781490868375987,1.9213151158112478
100,50,response_tables/trial_00050_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,2122,source_row:2122,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.40044634129308765,-0.40044634129308765,0.6328082974274971,3.5797043064167755,0.4368804705386237,3.781490868375987,2.7673668030233736
101,50,response_tables/trial_00050_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,2122,source_row:2122,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.6515567488573997,0,2478,102,0.40044634129308765,-0.40044634129308765,0.6328082974274971,3.5797043064167755,0.4368804705386237,3.781490868375987,2.7673668030233736
