decoder_mode,latent,feature_space_mode,contrast,lhs,rhs,observation_scale,prior_family,mean_feature_cosine_delta,ci_low,ci_high,fraction_positive,n
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_motion_minus_zero_static,known_eye,zero_static,1.0,all,-0.16952464864973485,-0.19127633719809578,-0.14745606670523495,0.1640625,256
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,1.0,all,-0.06299749276860252,-0.08771894680773905,-0.039800852999503006,0.3828125,256
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,1.0,all,-0.04151881700386652,-0.06735247775207702,-0.014837080105643798,0.390625,256
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,2.0,all,-0.05692974662710168,-0.08400148232186859,-0.02851299410056241,0.421875,256
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_motion_minus_zero_static,known_eye,zero_static,2.0,all,-0.17245415946599923,-0.19502899108050264,-0.1498737425170041,0.1796875,256
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,2.0,all,-0.07583672877602864,-0.1036774066469094,-0.04974504972788847,0.390625,256
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,2.0,all,-0.06318919430588885,-0.09336324313237218,-0.03450142325480465,0.3984375,256
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,all,all,-0.0692904589394993,-0.08467247663836062,-0.05306414266510654,0.3828125,768
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_motion_minus_zero_static,known_eye,zero_static,all,all,-0.18457694536958646,-0.19859702786296363,-0.17096000426966368,0.15885416666666666,768
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,all,all,-0.0824932743043738,-0.09686481880486221,-0.06847630099212991,0.3619791666666667,768
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_motion_minus_zero_static,known_eye,zero_static,all,all,-0.059924889116716694,-0.0758354023023013,-0.04440714546580596,0.3854166666666667,768
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,0.5,all,-0.10604845726231898,-0.13479283349720453,-0.07676734707347668,0.328125,256
linear_gaussian,pyramid_local_field,fold_zscore_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,0.5,all,-0.22233572718317582,-0.24579439949238296,-0.19803571453370072,0.1328125,256
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,0.5,all,-0.12162889427186853,-0.15071925399943295,-0.09345977061419515,0.3203125,256
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,0.5,all,-0.0931332965613839,-0.12429957839445234,-0.06189281960027326,0.4140625,256
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,1.0,all,-0.08002857528240337,-0.10769957350006439,-0.05275645487822497,0.359375,256
linear_gaussian,pyramid_local_field,fold_zscore_pca,hidden_motion_minus_zero_static,hidden_eye_tau_marginal,zero_static,1.0,all,-0.17046080839715905,-0.19085757860197655,-0.14918882685112397,0.171875,256
