decoder_mode,latent,feature_space_mode,observer_mode,observer_label,observation_scale,prior_family,n,mean_feature_cosine,median_feature_cosine,mean_feature_mse,median_feature_mse,mean_feature_rmse,median_feature_pred_norm,median_feature_true_norm
linear_gaussian,pyramid_local_field,fold_zscore_pca,hidden_eye_tau_marginal,hidden eye,0.5,axis_edge_parallel,128,0.09945014756119594,0.09359507508999965,28.110003555618512,24.183133602147354,5.131038253356205,10.64849652805161,26.197863966873914
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_tau_marginal,hidden eye,0.5,axis_edge_parallel,128,0.1113628541340615,0.12857620533475603,1.4807554829939082,1.3930491677162644,1.187064284081841,6.29257364441219,2.924220905075088
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,hidden_eye_tau_marginal,hidden eye,0.5,axis_edge_parallel,128,0.09290159111503721,0.10705216544832825,2.0995898094321266,1.9625688933098722,1.4186437462696169,6.243667621855078,5.59506746576681
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_eye,known eye,0.5,axis_edge_parallel,128,0.09335342637600239,0.10355952906890487,1.9675935720022322,1.7839282698746037,1.368918023552155,6.454771241891049,4.223746461179369
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_eye,known eye,0.5,axis_edge_parallel,128,0.11003384675134649,0.12057917902064727,28.296941362754186,23.654049245109128,5.154845232949708,11.119479938247414,26.197863966873914
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_eye,known eye,0.5,axis_edge_parallel,128,0.1243461470374398,0.11970355282897119,1.6704309697661577,1.383484082692465,1.2522925154134603,6.422320603280317,2.924220905075088
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_eye,known eye,0.5,axis_edge_parallel,128,0.1109682316360264,0.1218222559801489,2.2394972288820236,2.021524195651879,1.4601826824148099,6.3083616379503376,5.59506746576681
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,zero_eye_on_motion,zero-eye model,0.5,axis_edge_parallel,128,0.09252305279294029,0.08177199555829044,10.479496274901058,4.392088062477894,2.7460567637648534,11.529958311980447,4.223746461179369
linear_gaussian,pyramid_local_field,fold_zscore_pca,zero_eye_on_motion,zero-eye model,0.5,axis_edge_parallel,128,0.20340003783291596,0.20788376017591642,56.67685081034048,41.022965134128555,7.012426688154025,27.965086918099843,26.197863966873914
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,zero_eye_on_motion,zero-eye model,0.5,axis_edge_parallel,128,0.10656799402633538,0.1261792910033448,13.157409558526652,5.721864832229345,3.011745319157827,13.11809912417845,2.924220905075088
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,zero_eye_on_motion,zero-eye model,0.5,axis_edge_parallel,128,0.08506868039697058,0.07408189814423397,10.978292424605709,5.316842129196306,2.834507001366913,11.806550289112952,5.59506746576681
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,zero_static,0x stabilized,0.5,axis_edge_parallel,128,0.1896351236274269,0.1782146829654147,1.3110010466146318,1.119531503018055,1.1084308698209242,4.665760601759933,4.223746461179369
linear_gaussian,pyramid_local_field,fold_zscore_pca,zero_static,0x stabilized,0.5,axis_edge_parallel,128,0.32178587474437176,0.3443167211358944,24.821696295974597,22.100951834464986,4.833063504514162,15.383241199725228,26.197863966873914
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,zero_static,0x stabilized,0.5,axis_edge_parallel,128,0.23299174840593,0.2282109832607339,1.168387260766012,0.924164460939428,1.0319185079031021,5.069701156336961,2.924220905075088
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,zero_static,0x stabilized,0.5,axis_edge_parallel,128,0.1860348876764211,0.15756853856224967,1.6374329720116023,1.3793158474572973,1.23177261372618,4.675882796070466,5.59506746576681
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,hidden_eye_prior_mean,prior mean,1.0,axis_edge_orthogonal,128,0.09115963259221976,0.07980424557167057,3.262705029706086,2.7133061124087146,1.7456035951595072,8.529196966414215,4.223746461179369
linear_gaussian,pyramid_local_field,fold_zscore_pca,hidden_eye_prior_mean,prior mean,1.0,axis_edge_orthogonal,128,0.17256077788179175,0.17964741917105714,28.378955515632704,24.731541344467534,5.159342633566792,12.867430395269125,26.197863966873914
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_prior_mean,prior mean,1.0,axis_edge_orthogonal,128,0.10957944200920616,0.12135215102461464,3.162110104909979,2.5750793486258026,1.6992627653418886,8.946285755469667,2.924220905075088
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,hidden_eye_prior_mean,prior mean,1.0,axis_edge_orthogonal,128,0.09157033658626115,0.08973510010011114,3.612025614172113,2.9990559103795054,1.8355405940746345,8.591660463886775,5.59506746576681
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,hidden_eye_tau_marginal,hidden eye,1.0,axis_edge_orthogonal,128,0.10960654834502354,0.10735955467117272,1.678355581044108,1.589044505243528,1.271596678897896,5.8813805773506385,4.223746461179369
linear_gaussian,pyramid_local_field,fold_zscore_pca,hidden_eye_tau_marginal,hidden eye,1.0,axis_edge_orthogonal,128,0.1513250663472127,0.16494266184584502,25.973838667851325,22.4052215360458,4.929314662767635,8.169029220209975,26.197863966873914
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,hidden_eye_tau_marginal,hidden eye,1.0,axis_edge_orthogonal,128,0.14194604669891472,0.1444229948913484,1.3646509801895566,1.1939816834834573,1.1351695705759526,5.86443462242838,2.924220905075088
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,hidden_eye_tau_marginal,hidden eye,1.0,axis_edge_orthogonal,128,0.11580923176451026,0.12021202973556408,1.9996273561595934,1.7772529708111429,1.3830179340525026,5.921072399396131,5.59506746576681
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_eye,known eye,1.0,axis_edge_orthogonal,128,0.13497519068745523,0.14669482233276876,1.8710495407070276,1.5443879198842572,1.3228879590143208,5.9086136415680395,4.223746461179369
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_eye,known eye,1.0,axis_edge_orthogonal,128,0.1522612260946369,0.1876666857730524,26.04151094171935,22.291550117865665,4.943117100055375,8.75021584377616,26.197863966873914
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_eye,known eye,1.0,axis_edge_orthogonal,128,0.1699942556373275,0.18285646012837342,1.5979870235498703,1.2095027599112438,1.2077010889763367,6.075839599834824,2.924220905075088
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_eye,known eye,1.0,axis_edge_orthogonal,128,0.1445160706725546,0.1426186852996782,2.151251573505775,1.8768902824622262,1.4177669928679604,5.889321301898049,5.59506746576681
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,zero_eye_on_motion,zero-eye model,1.0,axis_edge_orthogonal,128,0.049019713981708596,0.052901250638569194,22.25210544805053,17.834835517115323,4.39940409976533,23.60568115663291,4.223746461179369
linear_gaussian,pyramid_local_field,fold_zscore_pca,zero_eye_on_motion,zero-eye model,1.0,axis_edge_orthogonal,128,0.12919915286160058,0.1128889242337624,86.30567823042519,74.34485116629038,8.857076962682996,42.70289840359273,26.197863966873914
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,zero_eye_on_motion,zero-eye model,1.0,axis_edge_orthogonal,128,0.050866721313643545,0.03821390200775293,28.637354524716557,23.593247070541523,4.9734954864148,27.613952311131634,2.924220905075088
