table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,observation_scale,axis_catalog_mode,n_candidates,n_prior_trajectories,n_timebins,n_units,true_candidate_index,true_source_row,true_candidate_id,observer_mode,observer_label,train_bank,test_input,fold,n_train_samples,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,2,1440,2.073792653077934,-2.073792653077934,1.4400668918761843,8.146248516863077,0.19949907476412063,7.6405318580811175,4.734740748503625
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,2,1440,2.1862614336288746,-2.1862614336288746,1.4786011746339425,8.364231338032443,0.3755917582567105,7.6405318580811175,7.321454865794065
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,2,1440,2.1862614336288746,-2.1862614336288746,1.4786011746339425,8.364231338032443,0.3755917582567105,7.6405318580811175,7.321454865794065
6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,76,source_row:76,hidden_eye_tau_marginal,hidden eye,prior_all,observed,3,1440,2.3750871184951032,-2.3750871184951032,1.5411317654552135,8.717957776443019,-0.014826219588789682,5.130864860399802,6.972531399332013
7,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,76,source_row:76,hidden_eye_tau_marginal,hidden eye,prior_all,observed,3,1440,2.3750871184951032,-2.3750871184951032,1.5411317654552135,8.717957776443019,-0.014826219588789682,5.130864860399802,6.972531399332013
8,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,76,source_row:76,hidden_eye_tau_marginal,hidden eye,prior_all,observed,3,1440,2.3750871184951032,-2.3750871184951032,1.5411317654552135,8.717957776443019,-0.014826219588789682,5.130864860399802,6.972531399332013
9,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,76,source_row:76,hidden_eye_tau_marginal,hidden eye,prior_all,observed,3,1440,2.3750871184951032,-2.3750871184951032,1.5411317654552135,8.717957776443019,-0.014826219588789682,5.130864860399802,6.972531399332013
10,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,76,source_row:76,hidden_eye_tau_marginal,hidden eye,prior_all,observed,3,1440,2.3750871184951032,-2.3750871184951032,1.5411317654552135,8.717957776443019,-0.014826219588789682,5.130864860399802,6.972531399332013
11,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,76,source_row:76,hidden_eye_tau_marginal,hidden eye,prior_all,observed,3,1440,2.3750871184951032,-2.3750871184951032,1.5411317654552135,8.717957776443019,-0.014826219588789682,5.130864860399802,6.972531399332013
12,6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,87,source_row:87,hidden_eye_prior_mean,prior mean,prior_mean,observed,0,90,1.9092351267118333,-1.9092351267118333,1.38175074695541,7.816362584653981,0.008431669492046623,2.711714419417268,7.353802264582794
13,6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,87,source_row:87,hidden_eye_prior_mean,prior mean,prior_mean,observed,0,90,1.9092351267118333,-1.9092351267118333,1.38175074695541,7.816362584653981,0.008431669492046623,2.711714419417268,7.353802264582794
14,7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,87,source_row:87,hidden_eye_prior_mean,prior mean,prior_mean,observed,0,90,2.1092679248958026,-2.1092679248958026,1.4523318921292758,8.215629835664803,0.14831332448513063,2.711714419417268,8.16780827340734
15,7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,87,source_row:87,hidden_eye_prior_mean,prior mean,prior_mean,observed,0,90,2.1092679248958026,-2.1092679248958026,1.4523318921292758,8.215629835664803,0.14831332448513063,2.711714419417268,8.16780827340734
16,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,87,source_row:87,hidden_eye_prior_mean,prior mean,prior_mean,observed,0,90,4.938852156888718,-4.938852156888718,2.2223528425721955,12.571526121375996,0.21363157266873053,2.711714419417268,12.868549919355786
17,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,87,source_row:87,hidden_eye_prior_mean,prior mean,prior_mean,observed,0,90,4.938852156888718,-4.938852156888718,2.2223528425721955,12.571526121375996,0.21363157266873053,2.711714419417268,12.868549919355786
18,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,369,source_row:369,hidden_eye_prior_mean,prior mean,prior_mean,observed,1,90,1.5341938553758805,-1.5341938553758805,1.2386257931174696,7.006725581327427,0.11654437964707952,5.021976583708456,5.506310571320162
19,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,369,source_row:369,hidden_eye_prior_mean,prior mean,prior_mean,observed,1,90,1.5341938553758805,-1.5341938553758805,1.2386257931174696,7.006725581327427,0.11654437964707952,5.021976583708456,5.506310571320162
20,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,369,source_row:369,hidden_eye_prior_mean,prior mean,prior_mean,observed,1,90,1.330386118040381,-1.330386118040381,1.1534236507200557,6.524749480040762,0.09520399119157759,5.021976583708456,4.671046540132444
21,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,369,source_row:369,hidden_eye_prior_mean,prior mean,prior_mean,observed,1,90,1.330386118040381,-1.330386118040381,1.1534236507200557,6.524749480040762,0.09520399119157759,5.021976583708456,4.671046540132444
22,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,369,source_row:369,hidden_eye_prior_mean,prior mean,prior_mean,observed,1,90,4.448930740147796,-4.448930740147796,2.1092488568558703,11.931713359142076,-0.13484520858039012,5.021976583708456,10.167353870042184
23,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,369,source_row:369,hidden_eye_prior_mean,prior mean,prior_mean,observed,1,90,4.448930740147796,-4.448930740147796,2.1092488568558703,11.931713359142076,-0.13484520858039012,5.021976583708456,10.167353870042184
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,2,90,3.079426773326321,-3.079426773326321,1.754829556773626,9.926815035369717,0.18363920103871803,7.6405318580811175,7.8940658518535285
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,2,90,3.079426773326321,-3.079426773326321,1.754829556773626,9.926815035369717,0.18363920103871803,7.6405318580811175,7.8940658518535285
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,2,90,2.3000411092888986,-2.3000411092888986,1.5165886420809365,8.579120904687425,0.21857690409395927,7.6405318580811175,5.914173240415397
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,2,90,2.3000411092888986,-2.3000411092888986,1.5165886420809365,8.579120904687425,0.21857690409395927,7.6405318580811175,5.914173240415397
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,2,90,3.010674738410657,-3.010674738410657,1.7351296027705414,9.815375266852563,0.4327616579495618,7.6405318580811175,10.299168230887274
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_prior_mean,prior mean,prior_mean,observed,2,90,3.010674738410657,-3.010674738410657,1.7351296027705414,9.815375266852563,0.4327616579495618,7.6405318580811175,10.299168230887274
6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,76,source_row:76,hidden_eye_prior_mean,prior mean,prior_mean,observed,3,90,5.254435776916649,-5.254435776916649,2.2922556089835724,12.966955882601466,-0.04497809261093493,5.130864860399802,11.680118852211928
7,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,76,source_row:76,hidden_eye_prior_mean,prior mean,prior_mean,observed,3,90,5.254435776916649,-5.254435776916649,2.2922556089835724,12.966955882601466,-0.04497809261093493,5.130864860399802,11.680118852211928
8,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,76,source_row:76,hidden_eye_prior_mean,prior mean,prior_mean,observed,3,90,5.254435776916649,-5.254435776916649,2.2922556089835724,12.966955882601466,-0.04497809261093493,5.130864860399802,11.680118852211928
