observer_mode,observer_label,observation_scale,prior_family,n,mean_feature_cosine,median_feature_cosine,mean_feature_mse,median_feature_mse,mean_feature_rmse,median_feature_pred_norm,median_feature_true_norm
known_eye,known eye,1.0,axis_edge_parallel,4,0.29081627260070936,0.26750038781711816,1.1835251212251887,1.2609185121447175,1.0695662041254916,4.497294940157797,5.076420722054129
zero_eye_on_motion,zero-eye model,1.0,axis_edge_parallel,4,0.13060030376636156,0.21795139293945381,65.66153862113367,47.31893854700313,7.839585662500059,39.50515673647098,5.076420722054129
zero_static,0x stabilized,1.0,axis_edge_parallel,4,0.2116730365807409,0.15974396074052916,3.7075218554709313,3.9270791553333675,1.8773254924325782,9.88197195692139,5.076420722054129
hidden_eye_prior_mean,prior mean,2.0,axis_edge_orthogonal,4,0.11664248235674181,0.0843267400288978,4.413223353090955,4.693891448518257,2.0897467277955446,10.9896435415496,5.076420722054129
hidden_eye_tau_marginal,hidden eye,2.0,axis_edge_orthogonal,4,0.0833151524002036,0.043246538335256504,2.354359853412209,2.2806742760619887,1.5316146270406354,7.146993132563039,5.076420722054129
known_eye,known eye,2.0,axis_edge_orthogonal,4,0.18633518262000737,0.12963319148712732,2.0854748443490525,2.4596115705102743,1.3973650281832697,7.292222516480964,5.076420722054129
zero_eye_on_motion,zero-eye model,2.0,axis_edge_orthogonal,4,0.09394378665827385,0.15900420455873962,163.40432507245066,161.74190534071542,12.743988822308236,73.23237301047696,5.076420722054129
zero_static,0x stabilized,2.0,axis_edge_orthogonal,4,0.2116730365807409,0.15974396074052916,3.7075218554709313,3.9270791553333675,1.8773254924325782,9.88197195692139,5.076420722054129
hidden_eye_prior_mean,prior mean,2.0,axis_edge_parallel,4,0.11664248235674181,0.0843267400288978,4.413223353090955,4.693891448518257,2.0897467277955446,10.9896435415496,5.076420722054129
hidden_eye_tau_marginal,hidden eye,2.0,axis_edge_parallel,4,0.0833151524002036,0.043246538335256504,2.354359853412209,2.2806742760619887,1.5316146270406354,7.146993132563039,5.076420722054129
known_eye,known eye,2.0,axis_edge_parallel,4,0.18633518262000737,0.12963319148712732,2.0854748443490525,2.4596115705102743,1.3973650281832697,7.292222516480964,5.076420722054129
zero_eye_on_motion,zero-eye model,2.0,axis_edge_parallel,4,0.09394378665827385,0.15900420455873962,163.40432507245066,161.74190534071542,12.743988822308236,73.23237301047696,5.076420722054129
zero_static,0x stabilized,2.0,axis_edge_parallel,4,0.2116730365807409,0.15974396074052916,3.7075218554709313,3.9270791553333675,1.8773254924325782,9.88197195692139,5.076420722054129
hidden_eye_prior_mean,prior mean,all,all,24,0.09561026784613409,0.10587418541932855,3.368692989486353,3.045050755868489,1.7867540342438415,9.167581071724761,5.076420722054129
hidden_eye_tau_marginal,hidden eye,all,all,24,0.06541076555997383,0.045856236498685345,1.9989927924216302,2.1300270433534045,1.39708260873035,6.482345764275509,5.076420722054129
known_eye,known eye,all,all,24,0.2585591510605299,0.2258168303536166,1.469355546721686,1.3834703394242156,1.1737055124965974,5.403683528825683,5.076420722054129
zero_eye_on_motion,zero-eye model,all,all,24,0.12472867574411572,0.22335848183474666,89.44595387050377,88.60987189603907,8.565454743671099,51.33875243079572,5.076420722054129
zero_static,0x stabilized,all,all,24,0.2116730365807409,0.15974396074052916,3.7075218554709313,3.9270791553333675,1.8773254924325782,9.88197195692139,5.076420722054129
